code,term
50057000,Solution for haemodialysis/haemofiltration
11402000,Solution for haemofiltration
11210000,Solution for infusion
50058000,Solution for infusion and oral solution
11201000,Solution for injection
50060000,Solution for injection/infusion
13051000,Solution for injection/skin-prick test
50073500,Solution for intraocular irrigation
50061000,Solution for intraperitoneal use
11501000,Solution for intravesical use
10518000,Solution for iontophoresis
12112000,Solution for organ preservation
11401000,Solution for peritoneal dialysis
12131000,Solution for provocation test
50061500,Solution for sealant
10548000,Solution for skin-prick test
10549000,Solution for skin-scratch test
13061000,Solution for solution for infusion
13033000,Solution for solution for injection
13034000,Solution for spray
13047000,Solution for suspension for injection
50061300,Solution for use in drinking water
13055000,Solution for use in drinking water/milk
10540000,Spot-on solution
12114000,Stomach irrigation
10309200,"Sublingual spray, solution"
10543000,Teat dip solution
50068000,Teat dip/spray solution
10546000,Teat spray solution
10546400,Transdermal solution
10546500,"Transdermal spray, solution"
10905000,Vaginal solution
10608000,"Eye drops, solvent for reconstitution"
10611000,"Eye lotion, solvent for reconstitution"
11216000,Solvent for parenteral use
50076000,Solvent for solution for infusion
50074000,Solvent for solution for intraocular irrigation
13035000,Solvent for...
10510000,"Cutaneous spray, suspension"
10515000,Cutaneous suspension
50015100,Cutaneous/ear drops suspension
10407000,Dental suspension
10530000,Dip suspension
10705000,"Ear drops, suspension"
10710000,"Ear spray, suspension"
50018500,"Ear/eye drops, suspension"
50020200,"Ear/nasal drops, suspension"
50022000,"Endosinusial wash, suspension"
11603000,"Endotracheopulmonary instillation, suspension"
10605000,"Eye drops, suspension"
13133000,Gastro-resistant oral suspension
12110000,Gastroenteral suspension
11303500,Implantation suspension
11802000,Intramammary suspension
11903000,Intrauterine suspension
13045000,Intravesical suspension
13135000,Modified-release oral suspension
10805000,"Nasal drops, suspension"
10809000,"Nasal spray, suspension"
11102000,Nebuliser suspension
13087000,Oculonasal suspension
10102000,"Oral drops, suspension"
13084000,"Oral spray, suspension"
10106000,Oral suspension
50070000,Oral suspension for use in drinking water
50038000,Oral/rectal suspension
10308300,"Oromucosal spray, suspension"
10306000,Oromucosal suspension
10538000,Pour-on suspension
11107000,"Pressurised inhalation, suspension"
13134000,Prolonged-release oral suspension
11208500,Prolonged-release suspension for injection
11006000,Rectal suspension
10541000,Spot-on suspension
10309300,"Sublingual spray, suspension"
13036000,Suspension for emulsion for injection
50063000,Suspension for infusion
11202000,Suspension for injection
13037000,Suspension for oral suspension
13038000,Suspension for spray
13039000,Suspension for suspension for injection
50063500,Suspension for use in drinking water
10544000,Teat dip suspension
10906000,Vaginal suspension
10117000,Syrup
13012000,Gas for dispersion for infusion
13013000,Gas for dispersion for injection
13050000,Gas for dispersion for injection/infusion
11118000,Inhalation gas
50034000,Liquefied gas for dental use
12301000,"Medicinal gas, compressed"
12302000,"Medicinal gas, cryogenic"
12303000,"Medicinal gas, liquefied"
