authorization_country,substance_name,mpid,package_id,medicinal_product_name,MA_holder,MA_number,spc_fi,spc_sv,basis_substance,reference_substance,formname_fi,formname_sv,formname_en,spor_form_list,spor_form,manufactureddoseform,route_of_admin_fi,route_of_admin_sv,route_of_admin_en,route_of_admin_spor_id,edqm_roa_id,strength_with_unit,ingredient_quantity_operator,ingredient_base_strength,ingredient_strength_min,ingredient_strength_max,strength_unit_fi,strength_unit_sv,strength_unit_en,reference_substance_strength,code,free_form_package_size,legal_status_for_supply
FIN,Amoxicillin trihydrate,4543,8646,Amorion,Orion Corporation,12387,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12387,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12387,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,1",,,mg,mg,mg,750,J01CA04,30,R
FIN,Amoxicillin trihydrate,4543,8647,Amorion,Orion Corporation,12387,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12387,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12387,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,1",,,mg,mg,mg,750,J01CA04,2 PÄ,R
FIN,Amoxicillin trihydrate,4543,30057,Amorion,Orion Corporation,12387,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12387,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12387,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,1",,,mg,mg,mg,750,J01CA04,14,R
FIN,Amoxicillin trihydrate,4543,41972,Amorion,Orion Corporation,12387,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12387,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12387,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,1",,,mg,mg,mg,750,J01CA04,20,R
FIN,Amoxicillin trihydrate,15790,28268,Amorion,Orion Corporation,16734,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=16734,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=16734,Amoxicillin trihydrate,Amoxicillin,jauhe oraalisuspensiota varten,pulver till oral suspension,powder for oral suspension,200000000004,100000073649,powder for oral suspension,Suun kautta,Oral användning,Oral use,100000073619,20053000,100 mg/ml,,"114,8",,,mg,mg,mg,100,J01CA04,30 ml,R
FIN,Amoxicillin trihydrate,15790,28269,Amorion,Orion Corporation,16734,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=16734,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=16734,Amoxicillin trihydrate,Amoxicillin,jauhe oraalisuspensiota varten,pulver till oral suspension,powder for oral suspension,200000000004,100000073649,powder for oral suspension,Suun kautta,Oral användning,Oral use,100000073619,20053000,100 mg/ml,,"114,8",,,mg,mg,mg,100,J01CA04,50 ml,R
FIN,Amoxicillin trihydrate,15791,28265,Amorion,Orion Corporation,16735,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=16735,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=16735,Amoxicillin trihydrate,Amoxicillin,jauhe oraalisuspensiota varten,pulver till oral suspension,powder for oral suspension,200000000004,100000073649,powder for oral suspension,Suun kautta,Oral användning,Oral use,100000073619,20053000,50 mg/ml,,"57,4",,,mg,mg,mg,50,J01CA04,20 ml PÄ,R
FIN,Amoxicillin trihydrate,15791,28266,Amorion,Orion Corporation,16735,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=16735,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=16735,Amoxicillin trihydrate,Amoxicillin,jauhe oraalisuspensiota varten,pulver till oral suspension,powder for oral suspension,200000000004,100000073649,powder for oral suspension,Suun kautta,Oral användning,Oral use,100000073619,20053000,50 mg/ml,,"57,4",,,mg,mg,mg,50,J01CA04,60 ml,R
FIN,Amoxicillin trihydrate,15791,28267,Amorion,Orion Corporation,16735,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=16735,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=16735,Amoxicillin trihydrate,Amoxicillin,jauhe oraalisuspensiota varten,pulver till oral suspension,powder for oral suspension,200000000004,100000073649,powder for oral suspension,Suun kautta,Oral användning,Oral use,100000073619,20053000,50 mg/ml,,"57,4",,,mg,mg,mg,50,J01CA04,100 ml,R
FIN,Amoxicillin trihydrate,37228,131264,Amoxicillin Mip Pharma,MIP Pharma GmbH,28605,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=28605,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=28605,Amoxicillin trihydrate,Amoxicillin,tabletti,tablett,tablet,200000000004,100000073664,tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,"574,0",,,mg,mg,mg,500,J01CA04,8,R
FIN,Amoxicillin trihydrate,37228,131265,Amoxicillin Mip Pharma,MIP Pharma GmbH,28605,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=28605,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=28605,Amoxicillin trihydrate,Amoxicillin,tabletti,tablett,tablet,200000000004,100000073664,tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,"574,0",,,mg,mg,mg,500,J01CA04,24,R
FIN,Amoxicillin trihydrate,37232,131268,Amoxicillin Mip Pharma,MIP Pharma GmbH,28607,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=28607,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=28607,Amoxicillin trihydrate,Amoxicillin,tabletti,tablett,tablet,200000000004,100000073664,tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,1000 mg,,"1148,0",,,mg,mg,mg,1000,J01CA04,8,R
FIN,Amoxicillin trihydrate,37232,131269,Amoxicillin Mip Pharma,MIP Pharma GmbH,28607,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=28607,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=28607,Amoxicillin trihydrate,Amoxicillin,tabletti,tablett,tablet,200000000004,100000073664,tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,1000 mg,,"1148,0",,,mg,mg,mg,1000,J01CA04,16,R
FIN,Amoxicillin trihydrate,3741,8268,Amoxicillin Mylan,Mylan AB,12132,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12132,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12132,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,1",,,mg,mg,mg,750,J01CA04,15,R
FIN,Amoxicillin trihydrate,3741,8269,Amoxicillin Mylan,Mylan AB,12132,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12132,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12132,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,1",,,mg,mg,mg,750,J01CA04,20,R
FIN,Amoxicillin trihydrate,3741,8270,Amoxicillin Mylan,Mylan AB,12132,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12132,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12132,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,1",,,mg,mg,mg,750,J01CA04,15,R
FIN,Amoxicillin trihydrate,3741,8271,Amoxicillin Mylan,Mylan AB,12132,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12132,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12132,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,1",,,mg,mg,mg,750,J01CA04,20,R
FIN,Amoxicillin trihydrate,3741,18300,Amoxicillin Mylan,Mylan AB,12132,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12132,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12132,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,1",,,mg,mg,mg,750,J01CA04,2 PA,R
FIN,Amoxicillin trihydrate,3741,102560,Amoxicillin Mylan,Mylan AB,12132,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12132,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12132,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,1",,,mg,mg,mg,750,J01CA04,14,R
FIN,Amoxicillin trihydrate,29403,100602,Amoxicillin Sandoz,Sandoz A/S,24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,"574,0",,,mg,mg,mg,500,J01CA04,10,R
FIN,Amoxicillin trihydrate,29403,100603,Amoxicillin Sandoz,Sandoz A/S,24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,"574,0",,,mg,mg,mg,500,J01CA04,12,R
FIN,Amoxicillin trihydrate,29403,100604,Amoxicillin Sandoz,Sandoz A/S,24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,"574,0",,,mg,mg,mg,500,J01CA04,16,R
FIN,Amoxicillin trihydrate,29403,100605,Amoxicillin Sandoz,Sandoz A/S,24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,"574,0",,,mg,mg,mg,500,J01CA04,20,R
FIN,Amoxicillin trihydrate,29403,100606,Amoxicillin Sandoz,Sandoz A/S,24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,"574,0",,,mg,mg,mg,500,J01CA04,30,R
FIN,Amoxicillin trihydrate,29403,100607,Amoxicillin Sandoz,Sandoz A/S,24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,"574,0",,,mg,mg,mg,500,J01CA04,500,R
FIN,Amoxicillin trihydrate,29403,100608,Amoxicillin Sandoz,Sandoz A/S,24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,"574,0",,,mg,mg,mg,500,J01CA04,1000,R
FIN,Amoxicillin trihydrate,29403,112837,Amoxicillin Sandoz,Sandoz A/S,24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,"574,0",,,mg,mg,mg,500,J01CA04,14,R
FIN,Amoxicillin trihydrate,29403,129774,Amoxicillin Sandoz,Sandoz A/S,24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24069,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,"574,0",,,mg,mg,mg,500,J01CA04,24,R
FIN,Amoxicillin trihydrate,29411,100609,Amoxicillin Sandoz,Sandoz A/S,24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,0",,,mg,mg,mg,750,J01CA04,4,R
FIN,Amoxicillin trihydrate,29411,100610,Amoxicillin Sandoz,Sandoz A/S,24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,0",,,mg,mg,mg,750,J01CA04,10,R
FIN,Amoxicillin trihydrate,29411,100611,Amoxicillin Sandoz,Sandoz A/S,24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,0",,,mg,mg,mg,750,J01CA04,12,R
FIN,Amoxicillin trihydrate,29411,100612,Amoxicillin Sandoz,Sandoz A/S,24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,0",,,mg,mg,mg,750,J01CA04,14,R
FIN,Amoxicillin trihydrate,29411,100613,Amoxicillin Sandoz,Sandoz A/S,24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,0",,,mg,mg,mg,750,J01CA04,20,R
FIN,Amoxicillin trihydrate,29411,100614,Amoxicillin Sandoz,Sandoz A/S,24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,0",,,mg,mg,mg,750,J01CA04,30,R
FIN,Amoxicillin trihydrate,29411,100615,Amoxicillin Sandoz,Sandoz A/S,24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,0",,,mg,mg,mg,750,J01CA04,24,R
FIN,Amoxicillin trihydrate,29411,129775,Amoxicillin Sandoz,Sandoz A/S,24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=24068,Amoxicillin trihydrate,Amoxicillin,dispergoituva tabletti,dispergerbar tablett,dispersible tablet,200000000004,100000073654,dispersible tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,0",,,mg,mg,mg,750,J01CA04,1000,R
