authorization_country,vtm_name,samv2_amp_id,medicinal_product_name,company,amppname,cnk_pub,cti_ext,abbrevname,name_abbrev_fr,packdisplayvalue,espc_nl,espc_fr,marketingauthorisationholder,distributor,basis_substance,substance_modifier,formname,edqmform,edqmid,snomedid,abbrform_nl,abbrform_fr,manufactureddoseform,adm_doseform,roa_nl,roa_en,edqm_roa_nl,edqm_roa_id,baseofstrength,strenght_nominator_value_low_limit,strength_nominator_unit,strenght_nominator_value_high_limit,strengthunitucum,strenght_denominator_value_low_limit,strength_denominator_unit,strengthdenomunitucum,atc,ddd,ddu,dddpropackage,vmp_name,vmpgroupname
BEL,esomeprazol,NULL,Esomeprazole Mylan harde maagsapresist. caps. 40 mg,Mylan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,esomeprazol,esomeprazol magnesium,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,40,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,esomeprazol 40 mg maagsapresistente capsule (or.),esomeprazol oraal 40 mg
BEL,hydrocortison,NULL,Colifoam rect. schuim 100 mg / 1 g,Meda Pharma,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,hydrocortison,,schuim voor rectaal gebruik,Schuim voor rectaal gebruik,11004000,SAM2,# schuim,mousse #,?,?,rectaal gebruik,rectal use,Rectaal gebruik,20061000,,100,mg,NULL,mg,1,g,g,NULL,NULL,NULL,,hydrocortison acetaat 100 mg / 1 g schuim (rect.),hydrocortison 100 mg / 1 g rectaal
BEL,ibuprofen,NULL,Nurofen zachte caps. Fastcaps 200 mg,Reckitt Benckiser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,ibuprofen,,"capsule, zacht","Capsule, zacht",10211000,SAM2,# zachte caps.,caps. molle #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,200,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,ibuprofen 200 mg capsule (or.),ibuprofen oraal 200 mg
BEL,insuline aspart + insuline aspart protamine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,NULL,,NULL,NULL,NULL,SAM2,NULL,NULL,?,?,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL
BEL,insuline lispro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,NULL,,NULL,NULL,NULL,SAM2,NULL,NULL,?,?,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,insuline lispro 100 E / 1 ml oplossing voor injectie (i.v./s.c.),insuline lispro injectie 100 E / 1 ml (volw.)
BEL,insuline lispro + insuline lispro protamine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,NULL,,NULL,NULL,NULL,SAM2,NULL,NULL,?,?,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL
BEL,lidocaïne,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,NULL,,NULL,NULL,NULL,SAM2,NULL,NULL,?,?,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,lidocaïne hydrochloride 20 mg / 1 ml gel (urethr.),NULL
BEL,salbutamol,NULL,"Salbutamol Teva verneveloploss. (unidose) 2,5 mg / 2,5 ml",Teva,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,salbutamol,salbutamol sulfaat,verneveloplossing in verpakking voor éénmalig gebruik,Verneveloplossing,11101000,SAM2,verneveloploss. (unidose),sol. inhal. nébul. (unidose),?,?,inhalatie,inhalation use,Inhalatie,20020000,,"2,5",mg,NULL,mg,"2,5",mL,mL,NULL,NULL,NULL,,"salbutamol 2,5 mg / 2,5 ml vernevelvloeistof (inhal.)","salbutamol 2,5 mg / 2,5 ml inhalatie"
BEL,salbutamol,NULL,"Salbutamol Teva verneveloploss. (unidose) 5 mg / 2,5 ml",Teva,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,salbutamol,salbutamol sulfaat,verneveloplossing in verpakking voor éénmalig gebruik,Verneveloplossing,11101000,SAM2,verneveloploss. (unidose),sol. inhal. nébul. (unidose),?,?,inhalatie,inhalation use,Inhalatie,20020000,,5,mg,NULL,mg,"2,5",mL,mL,NULL,NULL,NULL,,"salbutamol 5 mg / 2,5 ml vernevelvloeistof (inhal.)","salbutamol 5 mg / 2,5 ml inhalatie"
BEL,tramadol,NULL,Tradonal bruistabl. 50 mg,Meda Pharma,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,tramadol,,bruistablet,Bruistablet,10222000,SAM2,# bruistabl.,compr. efferv. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,50,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,tramadol hydrochloride 50 mg bruistablet (or.),tramadol oraal 50 mg
BEL,ibuprofen,15902,Ibuprofen AB filmomh. tabl. (deelb.) 800 mg,Aurobindo,Ibuprofen AB filmomh. tabl. (deelb.) 100 x 800 mg,4388070,584560-10,Ibuprofen AB filmomh. tabl. (deelb.) 100x 800mg,Ibuprofen AB compr. pellic. (séc.) 100x 800mg,100,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE584560&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE584560&leafletType=rcp,SAM2,SAM2,ibuprofen,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,800,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,ibuprofen 800 mg tablet (or.),ibuprofen oraal 800 mg
BEL,ibuprofen,15902,Ibuprofen AB filmomh. tabl. (deelb.) 800 mg,Aurobindo,Ibuprofen AB filmomh. tabl. (deelb.) 30 x 800 mg,4388054,584560-04,Ibuprofen AB filmomh. tabl. (deelb.) 30x 800mg,Ibuprofen AB compr. pellic. (séc.) 30x 800mg,30,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE584560&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE584560&leafletType=rcp,SAM2,SAM2,ibuprofen,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,800,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,ibuprofen 800 mg tablet (or.),ibuprofen oraal 800 mg
BEL,ibuprofen,15902,Ibuprofen AB filmomh. tabl. (deelb.) 800 mg,Aurobindo,Ibuprofen AB filmomh. tabl. (deelb.) 60 x 800 mg,4388062,584560-08,Ibuprofen AB filmomh. tabl. (deelb.) 60x 800mg,Ibuprofen AB compr. pellic. (séc.) 60x 800mg,60,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE584560&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE584560&leafletType=rcp,SAM2,SAM2,ibuprofen,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,800,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,ibuprofen 800 mg tablet (or.),ibuprofen oraal 800 mg
BEL,ibuprofen,15901,Ibuprofen AB filmomh. tabl. (deelb.) 600 mg,Aurobindo,Ibuprofen AB filmomh. tabl. (deelb.) 30 x 600 mg,4388039,584551-04,Ibuprofen AB filmomh. tabl. (deelb.) 30x 600mg,Ibuprofen AB compr. pellic. (séc.) 30x 600mg,30,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE584551&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE584551&leafletType=rcp,SAM2,SAM2,ibuprofen,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,600,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,ibuprofen 600 mg tablet (or.),ibuprofen oraal 600 mg
BEL,ibuprofen,15901,Ibuprofen AB filmomh. tabl. (deelb.) 600 mg,Aurobindo,Ibuprofen AB filmomh. tabl. (deelb.) 60 x 600 mg,4388047,584551-08,Ibuprofen AB filmomh. tabl. (deelb.) 60x 600mg,Ibuprofen AB compr. pellic. (séc.) 60x 600mg,60,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE584551&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE584551&leafletType=rcp,SAM2,SAM2,ibuprofen,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,600,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,ibuprofen 600 mg tablet (or.),ibuprofen oraal 600 mg
BEL,trastuzumab,15498,Zercepac inf. oploss. conc. (pdr.) i.v. [flac.] 60 mg,Accord,Zercepac inf. oploss. conc. (pdr.) i.v. [flac.] 1 x 60 mg,4426581,582791-01,Zercepac inf. oploss. conc. (pdr.) i.v. [flac.] 1x 60mg,Zercepac sol. perf. à diluer (pdr) i.v. [flac.] 1x 60mg,1,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=EU/1/20/1456/002&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=EU/1/20/1456/002&leafletType=rcp,SAM2,SAM2,trastuzumab,,poeder voor concentraat voor oplossing voor infusie,Poeder voor concentraat voor oplossing voor infusie,50043000,SAM2,inf. oploss. conc. (pdr.) #,sol. perf. à diluer (pdr) #,?,?,intraveneus gebruik,intravenous use,Intraveneus gebruik,20045000,,60,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,trastuzumab 60 mg poeder voor concentraat voor oplossing voor infusie (i.v.),trastuzumab infusie 60 mg
BEL,amoxicilline,15486,Amoxicillin AB filmomh. tabl. (deelb.) 1 g,Aurobindo,Amoxicillin AB filmomh. tabl. (deelb.) 20 x 1 g,4364238,582257-04,Amoxicillin AB filmomh. tabl. (deelb.) 20x 1g,Amoxicillin AB compr. pellic. (séc.) 20x 1g,20,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE582257&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE582257&leafletType=rcp,SAM2,SAM2,amoxicilline,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,1,g,NULL,g,NULL,NULL,NULL,NULL,NULL,NULL,,amoxicilline 1 g tablet (or.),amoxicilline oraal 1 g
BEL,amoxicilline,15486,Amoxicillin AB filmomh. tabl. (deelb.) 1 g,Aurobindo,Amoxicillin AB filmomh. tabl. (deelb.) 24 x 1 g,4364253,582257-05,Amoxicillin AB filmomh. tabl. (deelb.) 24x 1g,Amoxicillin AB compr. pellic. (séc.) 24x 1g,24,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE582257&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE582257&leafletType=rcp,SAM2,SAM2,amoxicilline,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,1,g,NULL,g,NULL,NULL,NULL,NULL,NULL,NULL,,amoxicilline 1 g tablet (or.),amoxicilline oraal 1 g
BEL,amoxicilline,15486,Amoxicillin AB filmomh. tabl. (deelb.) 1 g,Aurobindo,Amoxicillin AB filmomh. tabl. (deelb.) 8 x 1 g,4364246,582257-01,Amoxicillin AB filmomh. tabl. (deelb.) 8x 1g,Amoxicillin AB compr. pellic. (séc.) 8x 1g,8,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE582257&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE582257&leafletType=rcp,SAM2,SAM2,amoxicilline,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,1,g,NULL,g,NULL,NULL,NULL,NULL,NULL,NULL,,amoxicilline 1 g tablet (or.),amoxicilline oraal 1 g
BEL,amoxicilline,15485,Amoxicillin AB filmomh. tabl. (deelb.) 500 mg,Aurobindo,Amoxicillin AB filmomh. tabl. (deelb.) 16 x 500 mg,4364279,582240-03,Amoxicillin AB filmomh. tabl. (deelb.) 16x 500mg,Amoxicillin AB compr. pellic. (séc.) 16x 500mg,16,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE582240&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE582240&leafletType=rcp,SAM2,SAM2,amoxicilline,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,500,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,amoxicilline 500 mg tablet (or.),amoxicilline oraal 500 mg
BEL,amoxicilline,15485,Amoxicillin AB filmomh. tabl. (deelb.) 500 mg,Aurobindo,Amoxicillin AB filmomh. tabl. (deelb.) 30 x 500 mg,4364261,582240-06,Amoxicillin AB filmomh. tabl. (deelb.) 30x 500mg,Amoxicillin AB compr. pellic. (séc.) 30x 500mg,30,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE582240&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE582240&leafletType=rcp,SAM2,SAM2,amoxicilline,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,500,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,amoxicilline 500 mg tablet (or.),amoxicilline oraal 500 mg
BEL,simvastatine,15193,Simvastatin AB filmomh. tabl. 40 mg,Aurobindo,Simvastatin AB filmomh. tabl. 100 x 40 mg,4314373,577191-05,Simvastatin AB filmomh. tabl. 100x 40mg,Simvastatin AB compr. pellic. 100x 40mg,100,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE577191&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE577191&leafletType=rcp,SAM2,SAM2,simvastatine,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,40,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,simvastatine 40 mg tablet (or.),simvastatine oraal 40 mg
BEL,simvastatine,15193,Simvastatin AB filmomh. tabl. 40 mg,Aurobindo,Simvastatin AB filmomh. tabl. 30 x 40 mg,4314381,577191-02,Simvastatin AB filmomh. tabl. 30x 40mg,Simvastatin AB compr. pellic. 30x 40mg,30,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE577191&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE577191&leafletType=rcp,SAM2,SAM2,simvastatine,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,40,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,simvastatine 40 mg tablet (or.),simvastatine oraal 40 mg
BEL,simvastatine,15191,Simvastatin AB filmomh. tabl. 20 mg,Aurobindo,Simvastatin AB filmomh. tabl. 100 x 20 mg,4314365,577173-05,Simvastatin AB filmomh. tabl. 100x 20mg,Simvastatin AB compr. pellic. 100x 20mg,100,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE577173&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE577173&leafletType=rcp,SAM2,SAM2,simvastatine,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,20,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,simvastatine 20 mg tablet (or.),simvastatine oraal 20 mg
BEL,simvastatine,15191,Simvastatin AB filmomh. tabl. 20 mg,Aurobindo,Simvastatin AB filmomh. tabl. 30 x 20 mg,4314357,577173-02,Simvastatin AB filmomh. tabl. 30x 20mg,Simvastatin AB compr. pellic. 30x 20mg,30,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE577173&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE577173&leafletType=rcp,SAM2,SAM2,simvastatine,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,20,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,simvastatine 20 mg tablet (or.),simvastatine oraal 20 mg
BEL,ibuprofen,15131,Algidrin siroop susp. 100 mg / 5 ml,I.D. Phar,Algidrin siroop susp. 200 ml 100 mg / 5 ml,4291340,576026-03,Algidrin siroop susp. 200ml 100mg/5ml,Algidrin sirop susp. 200ml 100mg/5ml,NULL,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE576026&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE576026&leafletType=rcp,SAM2,SAM2,ibuprofen,ibuprofen lysine,"siroop, suspensie",Siroop/Suspensie voor oraal gebruik,10106000/10117000,SAM2,# siroop susp.,sirop susp. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,100,mg,NULL,mg,5,mL,mL,NULL,NULL,NULL,,ibuprofen 100 mg / 5 ml suspensie (or.),ibuprofen oraal 100 mg / 5 ml
BEL,trastuzumab,15017,Ontruzant inf. oploss. conc. (pdr.) i.v. [flac.] 420 mg,MSD,Ontruzant inf. oploss. conc. (pdr.) i.v. [flac.] 1 x 420 mg,4347803,573813-01,Ontruzant inf. oploss. conc. (pdr.) i.v. [flac.] 1x 420mg,Ontruzant sol. perf. à diluer (pdr) i.v. [flac.] 1x 420mg,1,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=EU/1/17/1241/002&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=EU/1/17/1241/002&leafletType=rcp,SAM2,SAM2,trastuzumab,,poeder voor concentraat voor oplossing voor infusie,Poeder voor concentraat voor oplossing voor infusie,50043000,SAM2,inf. oploss. conc. (pdr.) #,sol. perf. à diluer (pdr) #,?,?,intraveneus gebruik,intravenous use,Intraveneus gebruik,20045000,,420,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,trastuzumab 420 mg poeder voor concentraat voor oplossing voor infusie (i.v.),trastuzumab infusie 420 mg
BEL,trastuzumab,14889,Trazimera inf. oploss. conc. (pdr.) i.v. [flac.] 420 mg,Pfizer,Trazimera inf. oploss. conc. (pdr.) i.v. [flac.] 1 x 420 mg,3953841,545617-01,Trazimera inf. oploss. conc. (pdr.) i.v. [flac.] 1x 420mg,Trazimera sol. perf. à diluer (pdr) i.v. [flac.] 1x 420mg,1,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=EU/1/18/1295/002&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=EU/1/18/1295/002&leafletType=rcp,SAM2,SAM2,trastuzumab,,poeder voor concentraat voor oplossing voor infusie,Poeder voor concentraat voor oplossing voor infusie,50043000,SAM2,inf. oploss. conc. (pdr.) #,sol. perf. à diluer (pdr) #,?,?,intraveneus gebruik,intravenous use,Intraveneus gebruik,20045000,,420,mg,NULL,mg,NULL,NULL,NULL,L01FD01,NULL,NULL,,trastuzumab 420 mg poeder voor concentraat voor oplossing voor infusie (i.v.),trastuzumab infusie 420 mg
BEL,insuline glargine,14881,Abasaglar inj. oploss. s.c. Kwikpen [voorgev. pen] 100 E / 1 ml,Eli Lilly,Abasaglar inj. oploss. s.c. Kwikpen [voorgev. pen] 5 x 3 ml 100 E / 1 ml,3369857,485386-01,Abasaglar inj. oploss. s.c. Kwikpen [voorgev. pen] 5x3ml 100E/1ml,Abasaglar sol. inj. s.c. Kwikpen [stylo prérempli] 5x3ml 100U/1ml,5,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=EU/1/14/944/012&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=EU/1/14/944/012&leafletType=rcp,SAM2,SAM2,insuline glargine,,oplossing voor injectie in een voorgevulde pen,Oplossing voor injectie in een voorgevulde pen,50060200,SAM2,inj. oploss. #,sol. inj. #,?,?,subcutaan gebruik,subcutaneous use,Subcutaan gebruik,20066000,,100,1,NULL,1,1,mL,mL,A10AE04,40,U,,insuline glargine 100 E / 1 ml oplossing voor injectie (s.c.),insuline glargine injectie 100 E / 1 ml
BEL,amoxicilline,14777,Amoxicilline EG disp. tabl. (deelb.) 1 g,EG,Amoxicilline EG disp. tabl. (deelb.) 20 x 1 g,4247722,568071-07,Amoxicilline EG disp. tabl. (deelb.) 20x 1g,Amoxicilline EG compr. disp. (séc.) 20x 1g,20,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE568071&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE568071&leafletType=rcp,SAM2,SAM2,amoxicilline,,dispergeerbare tablet,Dispergeerbare tablet,10121000,SAM2,# disp. tabl.,compr. disp. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,1,g,NULL,g,NULL,NULL,NULL,NULL,NULL,NULL,,amoxicilline 1 g dispergeerbare tablet (or.),amoxicilline oraal 1 g
