code,display
PDF-13091000,Emulsion for suspension for injection
PDF-10604500,"Eye drops, emulsion"
PDF-12111000,Gastroenteral emulsion
PDF-50032000,"Inhalation vapour, emulsion"
PDF-11803000,Intramammary emulsion
PDF-11904000,Intrauterine emulsion
PDF-10806000,"Nasal drops, emulsion"
PDF-10810000,"Nasal spray, emulsion"
PDF-11105000,Nebuliser emulsion
PDF-10103000,"Oral drops, emulsion"
PDF-10107000,Oral emulsion
PDF-10308100,"Oromucosal spray, emulsion"
PDF-10539000,Pour-on emulsion
PDF-11108000,"Pressurised inhalation, emulsion"
PDF-11007000,Rectal emulsion
PDF-10542000,Spot-on emulsion
PDF-10309100,"Sublingual spray, emulsion"
PDF-10545000,Teat dip emulsion
PDF-13077000,Urethral emulsion
PDF-10907000,Vaginal emulsion
PDF-12101000,Denture lacquer
PDF-10521000,Medicated nail lacquer
PDF-10512000,Cutaneous liquid
PDF-11117000,"Inhalation vapour, liquid"
PDF-50037750,"Oral drops, liquid"
PDF-10104000,Oral liquid
PDF-10508000,Shampoo
PDF-12102000,Anticoagulant and preservative solution for blood
PDF-13078000,Bee-hive solution
PDF-11502000,Bladder irrigation
PDF-10513000,Cutaneous solution
PDF-50015450,Cutaneous solution/concentrate for oromucosal solution
PDF-10509000,"Cutaneous spray, solution"
PDF-13140000,Cutaneous/oromucosal solution
PDF-10406000,Dental solution
PDF-10529000,Dip solution
PDF-10704000,"Ear drops, solution"
PDF-10709000,"Ear spray, solution"
PDF-10712000,"Ear wash, solution"
PDF-50018000,"Ear/eye drops, solution"
PDF-50019500,"Ear/eye/nasal drops, solution"
PDF-50020000,"Ear/eye/nose drops, solution"
PDF-13041000,Endosinusial solution
PDF-11601000,"Endotracheopulmonary instillation, solution"
PDF-13042000,Epilesional solution
PDF-13159000,"Eye drops, prolonged-release solution"
PDF-10604000,"Eye drops, solution"
PDF-10610000,Eye lotion
PDF-10301000,Gargle
PDF-50024000,Gargle/mouthwash
PDF-50024500,Gargle/nasal wash
PDF-12108000,Gastroenteral solution
PDF-10312000,Gingival solution
PDF-50081000,Inhalation solution
PDF-11114000,"Inhalation vapour, solution"
PDF-11801000,Intramammary solution
PDF-13044000,Intraocular instillation solution
PDF-12111500,Intraperitoneal solution
PDF-11902000,Intrauterine solution
PDF-11502500,Intravesical solution
PDF-50033400,Intravesical solution/solution for injection
PDF-12113000,Irrigation solution
PDF-13016000,Laryngopharyngeal solution
PDF-13017000,"Laryngopharyngeal spray, solution"
PDF-10310000,Mouthwash
PDF-10804000,"Nasal drops, solution"
PDF-50037000,Nasal spray and oromucosal solution
PDF-10808000,"Nasal spray, solution"
PDF-50037400,"Nasal spray, solution/oromucosal solution"
PDF-10811000,Nasal wash
PDF-50036500,Nasal/oromucosal solution
PDF-50036700,"Nasal/oromucosal spray, solution"
PDF-12004000,Nebulisation solution
PDF-11101000,Nebuliser solution
PDF-10101000,"Oral drops, solution"
PDF-10105000,Oral solution
PDF-50038500,Oral solution/concentrate for nebuliser solution
PDF-50037900,Oral/rectal solution
PDF-10305000,Oromucosal solution
PDF-10308200,"Oromucosal spray, solution"
PDF-50039500,Oromucosal/laryngopharyngeal solution
PDF-50040000,Oromucosal/laryngopharyngeal solution/spray
PDF-50040500,"Oromucosal/laryngopharyngeal solution/spray, solution"
PDF-10537000,Pour-on solution
PDF-11106000,"Pressurised inhalation, solution"
PDF-13076000,Prolonged-release solution for injection
PDF-13128000,Prolonged-release wound solution
PDF-11005000,Rectal solution
PDF-12115000,Sealant
PDF-13100000,Solution for bee-hive dispersion
PDF-13080000,Solution for bee-hive solution
PDF-13054000,Solution for bee-hive strip
PDF-12103000,Solution for blood fraction modification
PDF-11209500,Solution for cardioplegia
PDF-13107000,Solution for cardioplegia/organ preservation
PDF-10414000,Solution for dental cement
PDF-11403000,Solution for haemodiafiltration
PDF-11404000,Solution for haemodialysis
PDF-50057000,Solution for haemodialysis/haemofiltration
PDF-11402000,Solution for haemofiltration
PDF-11210000,Solution for infusion
PDF-50058000,Solution for infusion and oral solution
PDF-11201000,Solution for injection
PDF-50060000,Solution for injection/infusion
PDF-13051000,Solution for injection/skin-prick test
PDF-50073500,Solution for intraocular irrigation
PDF-50061000,Solution for intraperitoneal use
PDF-11501000,Solution for intravesical use
PDF-10518000,Solution for iontophoresis
PDF-12112000,Solution for organ preservation
PDF-11401000,Solution for peritoneal dialysis
PDF-12131000,Solution for provocation test
PDF-50061500,Solution for sealant
PDF-10548000,Solution for skin-prick test
PDF-10549000,Solution for skin-scratch test
PDF-13061000,Solution for solution for infusion
PDF-13033000,Solution for solution for injection
PDF-13034000,Solution for spray
PDF-13047000,Solution for suspension for injection
PDF-50061300,Solution for use in drinking water
PDF-13055000,Solution for use in drinking water/milk
PDF-10540000,Spot-on solution
PDF-12114000,Stomach irrigation
PDF-10309200,"Sublingual spray, solution"
PDF-10543000,Teat dip solution
PDF-50068000,Teat dip/spray solution
PDF-10546000,Teat spray solution
PDF-10546400,Transdermal solution
PDF-10546500,"Transdermal spray, solution"
PDF-10905000,Vaginal solution
PDF-10608000,"Eye drops, solvent for reconstitution"
PDF-10611000,"Eye lotion, solvent for reconstitution"
PDF-11216000,Solvent for parenteral use
PDF-50076000,Solvent for solution for infusion
PDF-50074000,Solvent for solution for intraocular irrigation
PDF-13035000,Solvent for...
PDF-10510000,"Cutaneous spray, suspension"
PDF-10515000,Cutaneous suspension
PDF-50015100,Cutaneous/ear drops suspension
PDF-10407000,Dental suspension
PDF-10530000,Dip suspension
PDF-10705000,"Ear drops, suspension"
PDF-10710000,"Ear spray, suspension"
PDF-50018500,"Ear/eye drops, suspension"
PDF-50020200,"Ear/nasal drops, suspension"
PDF-50022000,"Endosinusial wash, suspension"
PDF-11603000,"Endotracheopulmonary instillation, suspension"
PDF-10605000,"Eye drops, suspension"
PDF-13133000,Gastro-resistant oral suspension
PDF-12110000,Gastroenteral suspension
PDF-11303500,Implantation suspension
PDF-11802000,Intramammary suspension
PDF-11903000,Intrauterine suspension
PDF-13045000,Intravesical suspension
PDF-13135000,Modified-release oral suspension
PDF-10805000,"Nasal drops, suspension"
PDF-10809000,"Nasal spray, suspension"
PDF-11102000,Nebuliser suspension
PDF-13087000,Oculonasal suspension
PDF-10102000,"Oral drops, suspension"
PDF-13084000,"Oral spray, suspension"
PDF-10106000,Oral suspension
PDF-50070000,Oral suspension for use in drinking water
PDF-50038000,Oral/rectal suspension
PDF-10308300,"Oromucosal spray, suspension"
PDF-10306000,Oromucosal suspension
PDF-10538000,Pour-on suspension
PDF-11107000,"Pressurised inhalation, suspension"
PDF-13134000,Prolonged-release oral suspension
PDF-11208500,Prolonged-release suspension for injection
PDF-11006000,Rectal suspension
PDF-10541000,Spot-on suspension
PDF-10309300,"Sublingual spray, suspension"
PDF-13036000,Suspension for emulsion for injection
PDF-50063000,Suspension for infusion
PDF-11202000,Suspension for injection
PDF-13037000,Suspension for oral suspension
PDF-13038000,Suspension for spray
PDF-13039000,Suspension for suspension for injection
PDF-50063500,Suspension for use in drinking water
PDF-10544000,Teat dip suspension
PDF-10906000,Vaginal suspension
PDF-10117000,Syrup
PDF-13012000,Gas for dispersion for infusion
PDF-13013000,Gas for dispersion for injection
PDF-13050000,Gas for dispersion for injection/infusion
PDF-11118000,Inhalation gas
PDF-50034000,Liquefied gas for dental use
PDF-12301000,"Medicinal gas, compressed"
PDF-12302000,"Medicinal gas, cryogenic"
PDF-12303000,"Medicinal gas, liquefied"
