Priorità,Country,Problema,Codice Gruppo Equivalenza,Generici_Prontuario_NewPrezziRi.Codice gruppo equivalenza,ATC,"Codice AIC - LocalMppid",Principio Attivo,Generici_Prontuario_NewPrezziRi.Principio attivo,Metri cubi ossigeno ,Descrizione Gruppo Equivalenza,Denominazione e Confezione,Generici_Prontuario_NewPrezziRi.Farmaco,Medicinal Product Name,Titolare AIC,Generici_Prontuario_NewPrezziRi.Ditta,Generici_Prontuario_NewPrezziRi.Confezione di riferimento,Generici_Prontuario_NewPrezziRi.Confezione,Package 1 (outer container) (EDQM Code),Package 1 (outer container) (EDQM Label),Dose form (EDQM Code),Dose form (EDQM Label),Unit of Presentation 1 (EDQM Code),Unit of Presentation 1 (EDQM Label),Unit of Presentation 1 (EDQM Label),Package Size,Unit of Measure 1 (UCUM),Package 2 (inner container) (EDQM Code),Package 2 (inner container) (EDQM Label),Unit of Presentation 2 (EDQM Code),Unit of Presentation 2 (EDQM Label),Quantity 2,Unit of Measure 2 (UCUM),Route of Administration (EDQM Code),Route of Administration (EDQM Label),Substance 1 (SMS code),Substance 1 (SMS Label),Active Ingredient 1 Numerator Quantity,Active Ingredient 1 Numerator Unit of Mesurement (UCUM),Active Ingredient 1 Denominator Quantity,Active Ingredient 1 Denominator Unit of Mesurement (UCUM),Substance 2 (SMS code),Substance 2 (SMS Label),Active Ingredient 2 Numerator Quantity,Active Ingredient 2 Numerator Unit of Mesurement (UCUM),Active Ingredient 2 Denominator Quantity,Active Ingredient 2 Denominator Unit of Mesurement (UCUM),Active Ingredient 3 (SMS code),Active Ingredient 3 (SMS Label),Active Ingredient 3 Numerator Quantity,Active Ingredient 3 Numerator Unit of Mesurement (UCUM),Active Ingredient 3 Denominator Quantity,Active Ingredient 3 Denominator Unit of Mesurement (UCUM),X=in lista di trasparenza Aifa 15/12/2021,Solo in lista di Regione:,Generici_Prontuario_NewPrezziRi.Nota
1,Italy,,01A,01A,A05AA02,26893040,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,URDES*20 cpr 300 mg,URDES,URDES,S.F. GROUP Srl,S.F. GROUP S.R.L.,20 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSE"" 20 COMPRESSE",30009000,Box,10219000,Tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,24173080,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,URSILON*20 cps 300 mg,URSILON,URSILON,I.B.I.GIOVANNI LORENZINI SpA,ISTITUTO BIOCHIMICO ITALIANO GIOVANNI LORENZINI S.P.A.,20 UNITA' 300 MG - USO ORALE,"""300 MG CAPSULE"" 20 CAPSULE",30009000,Box,12100,Capsule,15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,24444123,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,URSOBIL*20 cpr 300 mg,URSOBIL,URSOBIL,ABC FARMACEUTICI SpA,ABC FARMACEUTICI S.P.A.,20 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSE"" 20 COMPRESSE",30009000,Box,10219000,Tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,26073027,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,URSOFLOR*20 cps 300 mg,URSOFLOR,URSOFLOR,SO.SE.PHARM Srl,SO.SE.PHARM S.R.L.,20 UNITA' 300 MG - USO ORALE,"""300 MG CAPSULE"" 20 CAPSULE",30009000,Box,12100,Capsule,15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,25430101,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,URSOLISIN*20 cps 300 mg,URSOLISIN,URSOLISIN,MAGIS FARMACEUTICI Srl,MAGIS FARMACEUTICI S.R.L.,20 UNITA' 300 MG - USO ORALE,"""300 MG CAPSULE"" 20 CAPSULE",30009000,Box,12100,Capsule,15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,,A05AA02,27567039,Acido ursodesossicolico,,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,FRAURS*20 cps 300 mg,FRAURS,FRAURS,FRANCIA FARMAC.IND.FAR.BIO.Srl,,,,30009000,Box,12100,Capsule,15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01B,01B,A05AA02,33090034,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE,ACIDO URSODESOSSICOLICO*20 cpr 450 mg rilascio prolungato,ACIDO URSODESOSSICOLICO,ACIDO URSODESOSSICOLICO,RATIOPHARM GMBH,RATIOPHARM GMBH,20 UNITA' 450 MG - USO ORALE,"""450 MG COMPRESSE A RILASCIO PROLUNGATO"" 20 COMPRESSE A RILASCIO PROLUNGATO",30009000,Box,10226000,Prolonged-release tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,450,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01B,01B,A05AA02,28931032,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE,ACIDO URSODESOSSICOLICO*20 cps 450 mg rilascio modificato,ACIDO URSODESOSSICOLICO DOC GENERICI,ACIDO URSODESOSSICOLICO DOC GENERICI,DOC GENERICI Srl,DOC GENERICI S.R.L.,20 UNITA' 450 MG - USO ORALE,"""450 MG CAPSULE RIGIDE A RILASCIO MODIFICATO"" 20 CAPSULE",30009000,Box,10217000,"Modified-release capsule, hard",15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,450,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01B,01B,A05AA02,33512017,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE,ACIDO URSODESOSSICOLICO*20 cpr 450 mg rilascio prolungato,ACIDO URSODESOSSICOLICO EG,ACIDO URSODESOSSICOLICO EG,EG SpA,EG S.P.A.,20 UNITA' 450 MG - USO ORALE,"""450 MG COMPRESSE A RILASCIO PROLUNGATO"" 20 COMPRESSE A RILASCIO PROLUNGATO",30009000,Box,10226000,Prolonged-release tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,450,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01B,01B,A05AA02,33564055,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE,ACIDO URSODESOSSICOLICO*20 cpr 450 mg rilascio prolungato,ACIDO URSODESOSSICOLICO ZENTIVA,ACIDO URSODESOSSICOLICO ZENTIVA,ZENTIVA ITALIA Srl,ZENTIVA ITALIA S.R.L.,20 UNITA' 450 MG - USO ORALE,"""450 MG CAPSULE RIGIDE ARILASCIO PROLUNGATO"" 20 CAPSULE",30009000,Box,10226000,"Prolonged-release capsule, hard",15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,450,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01B,01B,A05AA02,23605138,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE,DEURSIL*20 cps 450 mg rilascio prolungato,DEURSIL,DEURSIL,CHEPLAPHARM ARZNEIMITTEL GMBH,CHEPLAPHARM ARZNEIMITTEL GMBH,20 UNITA' 450 MG - USO ORALE,"""450 MG CAPSULE RIGIDE A RILASCIO PROLUNGATO"" 20 CAPSULE RIGIDE A RILASCIO PROLUNGATO",30009000,Box,10226000,"Prolonged-release capsule, hard",15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,450,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01B,01B,A05AA02,28404022,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE,LITOFF RETARD*20 cpr 450 mg rilascio prolungato,LITOFF,LITOFF,I.B.N. SAVIO Srl,ISTITUTO BIOCHIMICO NAZIONALE SAVIO S.R.L.,20 UNITA' 450 MG - USO ORALE,"""450 MG COMPRESSE RILASCIO PROLUNGATO"" 20 COMPRESSE",30009000,Box,10226000,Prolonged-release tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,450,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01B,01B,A05AA02,26893053,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE,URDES*20 cpr gastrores 450 mg,URDES,URDES,S.F. GROUP Srl,S.F. GROUP S.R.L.,20 UNITA' 450 MG - USO ORALE,"""450 MG COMPRESSE GASTRORESISTENTI"" 20 COMPRESSE",30009000,Box,10225000,Gastro-resistant tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,450,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01B,01B,A05AA02,24173054,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE,URSILON RETARD*20 cps 450 mg rilascio prolungato,URSILON,URSILON,I.B.I.GIOVANNI LORENZINI SpA,ISTITUTO BIOCHIMICO ITALIANO GIOVANNI LORENZINI S.P.A.,20 UNITA' 450 MG - USO ORALE,"""450 MG CAPSULE RIGIDE RILASCIO MODIFICATO"" 20 CAPSULE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,450,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01B,01B,A05AA02,29038027,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE,URSOBIL HT*20 cps 450 mg rilascio modificato,URSOBIL HT,URSOBIL HT,ABC FARMACEUTICI SpA,ABC FARMACEUTICI S.P.A.,20 UNITA' 450 MG - USO ORALE,"""450 MG CAPSULE RIGIDE A RILASCIO MODIFICATO"" 20 CAPSULE",30009000,Box,1217000,"Modified-release capsule, hard",15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,450,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01B,01B,A05AA02,26073039,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 450MG 20 UNITA' USO ORALE,URSOFLOR R*20 cpr 450 mg rilascio prolungato,URSOFLOR,URSOFLOR,SO.SE.PHARM Srl,SO.SE.PHARM S.R.L.,20 UNITA' 450 MG - USO ORALE,"""450 MG COMPRESSE RETARD"" 20 COMPRESSE",30009000,Box,10226000,Prolonged-release tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,450,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01C,01C,A05AA02,33094018,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE,ACIDO URSODESOSSICOLICO*20 cpr 150 mg,ACIDO URSODESOSSICOLICO MYLAN GENERICS,ACIDO URSODESOSSICOLICO MYLAN GENERICS,MYLAN SpA,MYLAN S.P.A.,20 UNITA' 150 MG - USO ORALE,"""150 MG COMPRESSE"" 20 COMPRESSE",30009000,Box,10219000,Tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,150,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01C,01C,A05AA02,23605076,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE,DEURSIL*20 cps 150 mg,DEURSIL,DEURSIL,CHEPLAPHARM ARZNEIMITTEL GMBH,CHEPLAPHARM ARZNEIMITTEL GMBH,20 UNITA' 150 MG - USO ORALE,"""150 MG CAPSULE RIGIDE"" 20 CAPSULE RIGIDE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,150,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01C,01C,A05AA02,24615078,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE,LITURSOL*20 cpr 150 mg,LITURSOL,LITURSOL,EG SpA,EG S.P.A.,20 UNITA' 150 MG - USO ORALE,"""150 MG COMPRESSE"" 20 COMPRESSE",30009000,Box,10219000,Tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,150,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01C,01C,A05AA02,26893038,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE,URDES*20 cpr 150 mg,URDES,URDES,S.F. GROUP Srl,S.F. GROUP S.R.L.,20 UNITA' 150 MG - USO ORALE,"""150 MG COMPRESSE"" 20 COMPRESSE",30009000,Box,10219000,Tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,150,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01C,01C,A05AA02,23630039,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE,URSACOL*20 cpr 150 mg,URSACOL,URSACOL,ZAMBON ITALIA Srl,ZAMBON ITALIA S.R.L.,20 UNITA' 150 MG - USO ORALE,"""150 MG COMPRESSE"" 20 COMPRESSE",30009000,Box,10219000,Tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,150,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01C,01C,A05AA02,24444034,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE,URSOBIL*20 cps 150 mg,URSOBIL,URSOBIL,ABC FARMACEUTICI SpA,ABC FARMACEUTICI S.P.A.,20 UNITA' 150 MG - USO ORALE,"""150 MG CAPSULE RIGIDE"" 20 CAPSULE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,150,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01C,01C,A05AA02,25430063,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 150MG 20 UNITA' USO ORALE,URSOLISIN*20 cps 150 mg,URSOLISIN,URSOLISIN,MAGIS FARMACEUTICI Srl,MAGIS FARMACEUTICI S.R.L.,20 UNITA' 150 MG - USO ORALE,"""150 MG CAPSULE RIGIDE"" 20 CAPSULE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,150,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01D,01D,A05AA02,23605153,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 225MG 20 UNITA' USO ORALE,DEURSIL*20 cps 225 mg rilascio prolungato,DEURSIL,DEURSIL,CHEPLAPHARM ARZNEIMITTEL GMBH,CHEPLAPHARM ARZNEIMITTEL GMBH,20 UNITA' 225 MG - USO ORALE,"""225 MG CAPSULE RIGIDE A RILASCIO PROLUNGATO"" 20 CAPSULE RIGIDE A RILASCIO PROLUNGATO",30009000,Box,10215000,"Prolonged-release capsule, hard",15012000,capsule,capsule,30,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,225,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01D,01D,A05AA02,26893065,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 225MG 20 UNITA' USO ORALE,URDES*20 cpr gastrores 225 mg,URDES,URDES,S.F. GROUP Srl,S.F. GROUP S.R.L.,20 UNITA' 225 MG - USO ORALE,"""225 MG COMPRESSE GASTRORESISTENTI"" 20 COMPRESSE",30009000,Box,10225000,Gastro-resistant tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,225,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01D,01D,A05AA02,24173066,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 225MG 20 UNITA' USO ORALE,URSILON RETARD*20 cps 225 mg rilascio prolungato,URSILON,URSILON,I.B.I.GIOVANNI LORENZINI SpA,ISTITUTO BIOCHIMICO ITALIANO GIOVANNI LORENZINI S.P.A.,20 UNITA' 225 MG - USO ORALE,"""225 MG COMPRESSE GASTRORESISTENTI"" 20 COMPRESSE",30009000,Box,10225000,Gastro-resistant tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,225,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,02A,02A,A07EC02,34254021,Mesalazina,Mesalazina,,MESALAZINA 800MG 24 UNITA' USO ORALE,ARGONAL*24 cpr gastrores 800 mg,ARGONAL,ARGONAL,DOMPE' FARMACEUTICI SpA,DOMPE` FARMACEUTICI S.P.A.,24 UNITA' 800 MG - USO ORALE,"""800 MG COMPRESSE GASTRORESISTENTI"" 24 COMPRESSE GASTRORESISTENTI",30009000,Box,10225000,Gastro-resistant tablet,15054000,tablet,tablet,24,{Tablet},,,,,,,20053000,Oral Use,100000091953,Mesalazine,800,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,02A,02A,A07EC02,34298024,Mesalazina,Mesalazina,,MESALAZINA 800MG 24 UNITA' USO ORALE,ASAMAX*24 cpr gastrores 800 mg,ASAMAX,ASAMAX,CA.DI.GROUP Srl,CA.DI.GROUP S.P.A.,24 UNITA' 800 MG - USO ORALE,"""800 MG COMPRESSE GASTRORESISTENTI"" 24 COMPRESSE GASTRORESISTENTI",30009000,Box,10225000,Gastro-resistant tablet,15054000,tablet,tablet,24,{Tablet},,,,,,,20053000,Oral Use,100000091953,Mesalazine,800,mg,1,1,,,,,,,,,,,,,X,,
