code,term,definition,comment
10219000,Tablet,Solid single-dose uncoated preparation obtained by compressing uniform volumes of particulate solids or by other means such as extrusion or moulding. Tablets include single-layer tablets resulting from a single compression of particles and multi-layer tablets consisting of concentric or parallel layers obtained by successive compressions of particles of different composition. Tablets are intended for oral use to release active substance(s) in the gastrointestinal fluids by a rate depending essentially on the intrinsic properties of active substance(s) (conventional release).,
10220000,Coated tablet,"Solid single-dose preparation consisting of a tablet coated with one or more layers of mixtures of various substances such as sugars and waxes. To the coating colouring matter, flavouring substances and active substance(s) may be added. The thickness of the coating is greater than that of a film-coated tablet. Coated tablets have a smooth surface. They are intended for oral use. When the coating dissolves or disintegrates the active substance(s) is (are) released into the gastrointestinal fluid at a rate depending essentially on its intrinsic properties (conventional release).",
10221000,Film-coated tablet,Solid single-dose preparation consisting of a tablet coated with a thin polymeric film that dissolves within a few minutes in the gastrointestinal fluid. Film-coated tablets are intended for oral use to release active substance(s) at a rate which is not significantly delayed compared to that of the uncoated tablet.,
10222000,Effervescent tablet,"Solid single-dose preparation consisting of an uncoated tablet generally containing acid substances and carbonates or hydrogen carbonates, which react rapidly in the presence of water to release carbon dioxide. Effervescent tablets are intended to be dissolved or dispersed in water before oral use.",
10223000,Orodispersible tablet,Solid single-dose preparation consisting of an uncoated tablet intended to be placed in the mouth where it disperses rapidly in saliva before being swallowed.,
10224000,Oral lyophilisate,"Solid single-dose preparation made by freeze-drying of a liquid or semi-solid preparation. This fast-releasing preparation is intended to be placed in the mouth where its contents are released in saliva and swallowed or, alternatively, to be dissolved in water before oral administration.",
10225000,Gastro-resistant tablet,"Solid single-dose, delayed-release tablet intended to resist the gastric fluid and to release the active substance(s) in the intestinal fluid. These properties are achieved by coating the tablet with a gastro-resistant material or by embedding solid particles in the gastro-resistant material before compression. Gastro-resistant tablets are intended for oral administration.",
10226000,Prolonged-release tablet,Solid single-dose preparation consisting of a tablet showing a slower release of the active substance(s) than that of a conventional-release tablet. Prolonged release is achieved by a special formulation design and/or manufacturing method. Prolonged-release tablets are intended for oral use.,
10227000,Modified-release tablet,"Solid single-dose preparation consisting of a tablet showing a rate, a place and/or a time of release different from that of a conventional-release tablet. This deliberate modification is achieved by a special formulation design and/or manufacturing method. Modified-release tablets are intended for oral use, and include prolonged-release, delayed-release and pulsatile-release preparations. The generic term 'modified-release tablet' is used only when the more specific terms 'gastro-resistant tablet' or 'prolonged-release tablet' do not apply.",
10228000,Chewable tablet,Solid single-dose preparation consisting of an uncoated tablet intended to be chewed before being swallowed. Chewable tablets are intended for oral administration.,
10229000,Medicated chewing-gum,"Solid single-dose preparation consisting of a basis, mainly composed of gums, intended to be chewed but not swallowed. The active substance(s) is (are) released in saliva by chewing. Medicated chewing gum is intended for local treatment of mouth diseases or systemic delivery after absorption through the oral mucosa or from the gastrointestinal tract.",
10230000,Oral gum,"Solid single-dose preparation with a gum-like consistency, intended to be sucked or chewed before being swallowed. Medicated chewing gum is excluded.",
10230500,Pill,,Term rejected.
10231000,Pillules,"Solid preparation for homoeopathic use, obtained from sucrose, lactose or other suitable excipients. Pillules may be prepared by impregnation of preformed pillules with a dilution or dilutions of homoeopathic stocks or by progressive addition of these excipients and the addition of a dilution or dilutions of homoeopathic stocks. Pillules are intended for oral or sublingual use.",
10232000,Continuous-release intraruminal device,"Solid single-dose preparation intended for oral use in ruminant animals. It is designed to be retained in the rumen to deliver the active substance(s) in a continuous manner at a defined rate over a defined period of time. This may be achieved by erosion, corrosion, diffusion, osmotic pressure or any other suitable chemical, physical or physico-chemical means.",
10233000,Pulsatile-release intraruminal device,Solid single-dose preparation intended for oral use in ruminant animals. It is designed to be retained in the rumen to deliver the active substance(s) in a pulsatile manner by the release of a specific quantity of active substance(s) at one or several defined intermediate intervals. This may be achieved by corrosion by ruminal fluids of the metallic elements of the intraruminal device which leads to sequential release of the constituent units which are usually in the form of tablets.,
10234000,Lick block,Solid block containing active substance(s) intended for veterinary use. It is formed by pressing. Administration takes place when the animal is licking the block.,
10235000,Premix for medicated feeding stuff,"Liquid, semi-solid or solid preparation intended to facilitate oral administration of active substances to animals. Premixes for medicated feeding stuff are used exclusively in the preparation of medicated feeding stuffs. Used as powders or granules, they are free-flowing and homogeneous. Used in liquid form, they are homogeneous suspensions or solutions which may be obtained from thixotropic gels or structured liquids. The particle size and other properties are such as to ensure uniform distribution of the active substance(s) in the final feeding stuff.",
10236000,Medicated pellets,"Solid single-dose or multidose preparation intended for veterinary use, consisting of large granules, usually formed by extrusion, intended for oral use.",
10236100,Orodispersible film,Solid preparation consisting of a single- or multilayer sheet of suitable material(s) intended to be placed in the mouth where it disperses rapidly before being swallowed.,
10301000,Gargle,Liquid preparation consisting of an aqueous solution intended for gargling to obtain a local effect in the oral cavity and the throat. Gargles are not to be swallowed.,
10302000,Concentrate for gargle,Liquid preparation consisting of an aqueous solution intended to be diluted in water to obtain a gargle.,
10303000,"Gargle, powder for solution",Solid preparation consisting of one or more powders intended to be dissolved in water to obtain a gargle.,
10304000,"Gargle, tablet for solution",Solid preparation consisting of a tablet intended to be dissolved in water to obtain a gargle.,
10305000,Oromucosal solution,Liquid single-dose or multidose preparation consisting of a solution intended for oromucosal use.,
10306000,Oromucosal suspension,Liquid single-dose or multidose preparation consisting of a suspension intended for oromucosal use.,
10307000,Oromucosal drops,"Liquid, usually multidose preparation consisting of a solution, suspension or emulsion intended for oromucosal use. Oromucosal drops are administered by instillation into the oral cavity or onto a specific part of the oral cavity.",
10308000,Oromucosal spray,,Use discouraged. This does not contain the information required for a full Standard Term.
10308100,"Oromucosal spray, emulsion","Liquid, usually multidose preparation consisting of an emulsion intended for oromucosal use. It is administered by spraying into the oral cavity or onto a specific part of the oral cavity or the throat. It is presented in a container with a spray pump or in a pressurised container with or without a metering valve. Sublingual sprays are excluded.",
10308200,"Oromucosal spray, solution","Liquid, usually multidose preparation consisting of a solution intended for oromucosal use. It is administered by spraying into the oral cavity or onto a specific part of the oral cavity or the throat. It is presented in a container with a spray pump or in a pressurised container with or without a metering valve. Sublingual sprays are excluded.",
10308300,"Oromucosal spray, suspension","Liquid, usually multidose preparation consisting of a suspension intended for oromucosal use. It is administered by spraying into the oral cavity or onto a specific part of the oral cavity or the throat. It is presented in a container with a spray pump or in a pressurised container with or without a metering valve. Sublingual sprays are excluded.",
10309000,Sublingual spray,,Use discouraged. This does not contain the information required for a full Standard Term.
10309100,"Sublingual spray, emulsion","Liquid, usually multidose preparation consisting of an emulsion intended for sublingual use. Sublingual sprays are usually presented in pressurised containers with a metering valve.",
10309200,"Sublingual spray, solution","Liquid, usually multidose preparation consisting of a solution intended for sublingual use. Sublingual sprays are usually presented in pressurised containers with a metering valve.",
10309300,"Sublingual spray, suspension","Liquid, usually multidose preparation consisting of a suspension intended for sublingual use. Sublingual sprays are usually presented in pressurised containers with a metering valve.",
10310000,Mouthwash,Liquid preparation consisting of an aqueous solution intended for use in contact with the oral mucosa. It is not to be swallowed. Mouthwashes may contain excipients to adjust the pH which as far as possible is neutral.,
10311000,"Mouthwash, tablet for solution",Solid preparation consisting of an uncoated tablet intended to be dissolved in water to obtain a mouthwash.,
10312000,Gingival solution,"Liquid, usually multidose preparation consisting of a solution intended for gingival use.",
10313000,Oromucosal gel,"Semi-solid single-dose or multidose preparation consisting of a hydrophilic gel intended for oromucosal use. It is applied to the oral cavity or onto a specific part of the oral cavity, to obtain a local effect. Gingival gel is excluded.",
10314000,Oromucosal paste,"Semi-solid single-dose or multidose preparation consisting of a paste of solid particles finely dispersed in a hydrophilic basis intended for oromucosal use. Oromucosal pastes are applied to the oral cavity or onto a specific part of the oral cavity, to obtain a local effect. Gingival paste is excluded.",
10314005,Oromucosal ointment,"Semi-solid multidose preparation consisting of an ointment intended for oromucosal use. It is applied to the oral cavity or onto a specific part of the oral cavity, to obtain a local effect",
10314010,Oromucosal cream,"Semi-solid, usually multidose preparation consisting of an oil-in-water emulsion intended for oromucosal use. Oromucosal creams are applied to the oral cavity or onto a specific part of the oral cavity, other than the gingivae, to obtain a local effect.",
10314011,Buccal film,Solid preparation consisting of a single- or multilayer sheet of suitable material(s) intended to be applied to the buccal cavity (pouch) to obtain a systemic effect.,
10315000,Gingival gel,Semi-solid single-dose or multidose preparation consisting of a gel intended for gingival use to obtain a local effect.,
10316000,Gingival paste,Semi-solid single-dose or multidose preparation consisting of a paste of solid particles finely dispersed in a hydrophilic basis intended for gingival use to obtain a local effect.,
10317000,Oromucosal capsule,Solid single-dose preparation contained in a soft shell to be chewed or sucked to obtain a local effect in the oral cavity.,
10317500,Sublingual film,Solid preparation consisting of a single- or multilayer sheet of suitable material(s) intended for sublingual use to obtain a systemic effect.,
10318000,Sublingual tablet,Solid single-dose preparation consisting of an uncoated tablet intended for sublingual use. Sublingual tablets are usually prepared by compression of mixtures of powders or granulations into tablets with a shape suited for the intended use. Other technologies such as moulding may be used.,
10319000,Muco-adhesive buccal tablet,"Solid single-dose preparation to be applied to the buccal mucosa to obtain a systemic delivery over an extended period of time. Mucoadhesive buccal tablets are usually prepared by compression of mixtures of powders or granulations into tablets with a shape suited for the intended use. They usually contain hydrophilic polymers, which on wetting with saliva produce a flexible hydrogel that adheres to the buccal mucosa.",
10320000,Buccal tablet,Solid single-dose preparation to be applied to the buccal cavity (pouch) to obtain systemic delivery. Buccal tablets are prepared by compression of mixtures of powders or granulations into tablets with a shape suited for the intended use.,
10321000,Lozenge,"Solid single-dose preparation intended to be sucked to obtain, usually, a local effect in the oral cavity and the throat. Lozenges are hard preparations prepared by moulding. They usually contain flavouring and sweetening agents. Lozenges dissolve or disintegrate slowly when sucked.",
10322000,Compressed lozenge,Solid single-dose preparation intended to be sucked to obtain a local or systemic effect. It is prepared by compression and is often rhomboid in shape. Compressed lozenges usually contain flavouring and sweetening agents. They dissolve or disintegrate slowly when sucked.,
10323000,Pastille,"Solid single-dose preparation intended to be sucked to obtain, usually, a local effect in the oral cavity and the throat. Pastilles are soft, flexible preparations prepared by moulding of mixtures containing natural or synthetic polymers or gums and sweeteners. They dissolve or disintegrate slowly when sucked.",
10401000,Periodontal powder,Solid preparation consisting of one or more powders intended for administration within the tooth socket/periodontal membrane.,
10401500,Dental cement,"Semi-solid preparation intended for application in or on teeth, which subsequently hardens to form a seal or bond.",
10402000,Dental gel,"Semi-solid, usually multidose preparation consisting of a hydrophilic gel intended for administration on teeth and gums by rubbing.",
10403000,Dental stick,"Solid single-dose preparation, rod-shaped and usually prepared by compression or moulding, intended for dental use.",
10404000,Dental insert,,Use discouraged.
10405000,Dental powder,Solid preparation consisting of one or more powders intended for administration on teeth and gums.,
10406000,Dental solution,"Liquid, usually multidose preparation consisting of a solution intended for administration on teeth and gums.",
10407000,Dental suspension,"Liquid, usually multidose preparation consisting of a suspension intended for administration on teeth and gums.",
10408000,Dental emulsion,"Liquid, usually multidose preparation consisting of an emulsion intended for administration on to the teeth and the gums.",
10409000,Toothpaste,"Semi-solid, usually multidose preparation consisting of a hydrophilic paste intended to be rubbed onto the teeth.",
10410000,Periodontal gel,Semi-solid preparation consisting of a gel intended to be placed in the pouch between the tooth and the gingiva.,
10411000,Periodontal insert,Solid single-dose preparation consisting of a medicated insert to be placed within the tooth socket/periodontal membrane. The biodegradable insert is a sheet which slowly releases active substance(s).,
10413000,Powder for dental cement,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended for use in the preparation of a dental cement.",
10414000,Solution for dental cement,Liquid preparation consisting of a solution intended for use in the preparation of a dental cement.,
10501000,Bath additive,"Solid, semi-solid or liquid preparation to be added to the bath water.",
10502000,Cream,"Semi-solid single-dose or multidose preparation of homogeneous appearance consisting of a lipophilic phase and an aqueous phase, one of which is finely dispersed in the other. Active substance(s) are dissolved or dispersed in the basis, which may be hydrophilic or hydrophobic. Creams are intended for cutaneous use. In certain cases, transdermal delivery may be obtained.",
10503000,Gel,"Semi-solid single-dose or multidose preparation consisting of a single-phase basis of liquids gelled by a suitable gelling agent, intended for cutaneous use. Active substance(s) are dissolved or dispersed in the basis, which may be hydrophilic or hydrophobic.",
10504000,Ointment,"Semi-solid single-dose or multidose preparation consisting of a single-phase basis in which solids or liquids may be dispersed. Active substance(s) are dissolved or dispersed in the basis, which may be hydrophilic, hydrophobic or water-emulsifying. Ointments are intended for cutaneous use. In certain cases, transdermal delivery may be obtained.",
10505000,Cutaneous paste,"Semi-solid single-dose or multidose preparation containing a large proportion of finely divided solids dispersed in the basis, intended for cutaneous use.",
10506000,Medicated plaster,"Flexible single-dose preparation intended to be applied to the skin to obtain, usually, a local effect. Medicated plasters consist of an adhesive basis containing the active substance and spread as a uniform layer on an appropriate support made of natural or synthetic material. The adhesive layer is covered by a suitable protective liner, which is removed before applying the plaster to the skin. Medicated plasters are presented in a range of sizes or as larger sheets to be cut before use.",
10507000,Cutaneous foam,"Liquid, usually multidose preparation, usually presented in a pressurised container equipped with an applicator suitable for delivery of a foam consisting of large volumes of gas dispersed in a liquid containing active substance(s). Cutaneous foams are intended for cutaneous use.",
10508000,Shampoo,"Liquid or, occasionally, semi-solid, usually multidose preparation intended for application to the scalp by rubbing and subsequent washing away with water. Upon rubbing with water, shampoos usually form foam. Shampoos are solutions, suspensions or emulsions containing surface-active agents.",
10509000,"Cutaneous spray, solution","Liquid preparation, usually multidose, consisting of a solution in a pressurised container with a spray valve or in a container equipped with a spray pump, intended for cutaneous use.",
10510000,"Cutaneous spray, suspension","Liquid, usually multidose preparation consisting of a suspension in a pressurised container with a spray valve or in a container equipped with a spray pump, intended for cutaneous use.",
10511000,"Cutaneous spray, powder","Solid, usually multidose preparation presented in a pressurised container with a spray valve or in a container equipped with a spray pump. The spray is intended for cutaneous use.",
10512000,Cutaneous liquid,"Liquid, usually multidose preparation consisting of a liquid active substance per se, intended for cutaneous use.",
10513000,Cutaneous solution,"Liquid, usually multidose preparation consisting of a solution of the active substance in a suitable vehicle intended for cutaneous use.",
10514000,Concentrate for cutaneous solution,Liquid preparation intended to be diluted in the specified liquid to obtain a cutaneous solution.,
10514500,Powder for cutaneous solution,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a cutaneous solution.",
10515000,Cutaneous suspension,"Liquid, usually multidose preparation consisting of a suspension of fine particles in a suitable vehicle intended for cutaneous use.",
10516000,Cutaneous emulsion,"Liquid, usually multidose preparation consisting of an emulsion intended for cutaneous use.",
10517000,Cutaneous powder,"Solid, usually multidose preparation consisting of a powder intended for cutaneous use. Cutaneous spray, powder is excluded.",
10517500,Cutaneous patch,Flexible single-dose preparation intended to be applied to the unbroken skin to obtain a local effect by penetration of the active substance(s) into the skin.,
10518000,Solution for iontophoresis,Liquid preparation consisting of an aqueous solution intended for transdermal delivery by means of iontophoresis.,
10518500,Powder for solution for iontophoresis,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a solution for iontophoresis.",
10519000,Transdermal patch,"Flexible single-dose preparation intended to be applied to the unbroken skin to obtain a systemic delivery over an extended period of time. Transdermal patches consist of a backing sheet supporting a reservoir or a matrix containing the active substance(s) and on the top a pressure-sensitive adhesive, which assures the adhesion of the preparation to the skin. The backing sheet is impermeable to the active substance(s) and normally impermeable to water. In reservoir systems the active substance may be dissolved or dispersed in a semi-solid basis or in a solid polymer matrix, which is separated from the skin by a rate-controlling membrane. The pressure-sensitive adhesive may, in this case, be applied to some or all parts of the membrane, or only around the border of the membrane and the backing sheet. Matrix systems contain the active substance in a solid or semi-solid matrix, the properties of which control the diffusion pattern to the skin. The matrix system may also be a solution or dispersion of the active substance in the pressure-sensitive adhesive. The releasing surface of the patch is covered by a protective liner to be removed before applying the patch to the skin.",
10520000,Collodion,"Liquid preparation usually containing pyroxylin in a mixture of ether and ethanol. When applied to the skin, the preparation forms a flexible film on the site of application.",
10521000,Medicated nail lacquer,Liquid preparation to be applied to the nails to form a lacquer by evaporation of the volatile solvent.,
10521500,Nail solution,,Term rejected. 'Cutaneous use' includes application to the nails.
10522000,Poultice,"Semi-solid preparation consisting of a hydrophilic heat-retentive basis in which solid or liquid active substance(s) are dispersed, usually intended to be spread thickly on a suitable dressing and heated before application to the skin.",
10523000,Cutaneous stick,"Solid preparation, usually rod-shaped or conical, intended for application to the skin to obtain a local effect. Cutaneous sticks may consist of the active substance(s) alone or dissolved or dispersed in a suitable basis.",
10524000,Cutaneous sponge,,Use discouraged.
10525000,Impregnated dressing,Solid preparation consisting of a piece or strip of gauze or other suitable fabric impregnated with a liquid or semi-solid preparation intended for cutaneous use.,
10526000,Collar,,Use discouraged.
10526500,Medicated collar,"Solid preparation for veterinary use consisting of a matrix impregnated with active substance(s), which is worn around the animal's neck. The active substance(s) are released by diffusion, by mechanical means or by vaporisation over a period of time.",
10527000,Medicated pendant,"Solid preparation for veterinary use consisting of a matrix impregnated with active substance(s), which is fixed to a device to be worn around the animal's neck. The active substance(s) are released by diffusion, by mechanical means or by vaporisation over a period of time.",
10528000,Ear tag,"Solid preparation consisting of a matrix impregnated with active substance(s), which is fixed to a device to be tagged on the animal's ear. The active substance(s) are released by diffusion, by mechanical means or by vaporisation over a period of time.",
10529000,Dip solution,Liquid preparation consisting of a solution intended for veterinary use by dipping.,
10530000,Dip suspension,Liquid preparation consisting of a suspension intended for veterinary use by dipping.,
10531000,Dip emulsion,Liquid preparation consisting of an emulsion intended for veterinary use by dipping.,
10532000,Concentrate for dip solution,Liquid preparation intended to be diluted in the specified liquid to obtain a dip solution.,
10533000,Concentrate for dip suspension,Liquid preparation intended to be diluted in the specified liquid to obtain a dip suspension.,
10534000,Concentrate for dip emulsion,Liquid preparation intended to be diluted in the specified liquid to obtain a dip emulsion.,
10534500,Powder for dip solution,"Solid preparation for veterinary use consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a dip solution.",
10535000,Concentrate for solution for fish treatment,Liquid preparation intended to be diluted in the specified liquid to obtain a solution for fish treatment by immersion.,
10536000,Powder for suspension for fish treatment,"Solid preparation for veterinary use consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a suspension for fish treatment by immersion.",
10537000,Pour-on solution,Liquid preparation consisting of a solution intended for pour-on use for the prevention and treatment of ectoparasitic and/or endoparasitic infestations of animals. Pour-on solutions are applied in volumes that are usually greater than 5 mL.,
10538000,Pour-on suspension,Liquid preparation consisting of a suspension intended for pour-on use for the prevention and treatment of ectoparasitic and/or endoparasitic infestations of animals. Pour-on suspensions are applied in volumes that are usually greater than 5 mL.,
