code,term,definition,comment
15049000,Straw,A unit of presentation used to represent the quantity of product that is found in a single straw container.,"For example, to describe the quantity of an oral suspension in a single straw: ""contains 5 mL per straw""."
15050000,Strip,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of strip.,"For example, to describe the strength of an ophthalmic strip: ""contains 1 mg per strip""."
15051000,Suppository,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of suppository.,"For example, to describe the strength of a suppository: ""contains 500 mg per suppository""."
15052000,Syringe,A unit of presentation used to represent the quantity of product that is found in a single syringe container.,"For example, to describe the quantity of a solution for injection in a single pre-filled syringe: ""contains 10 mL per syringe""."
15053000,System,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of system.,"For example, to describe the strength of an intrauterine delivery system: ""contains 15 mg per system""."
15054000,Tablet,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of tablet.,"For example, to describe the strength of a prolonged-release tablet: ""contains 20 mg per tablet""."
15055000,Tag,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of tag.,"For example, to describe the strength of an ear tag: ""contains 1000 mg per tag""."
15056000,Tampon,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of tampon.,"For example, to describe the strength of a rectal tampon: ""contains 100 mg per tampon""."
15057000,Thread,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of thread.,"For example, to describe the strength of a medicated thread: ""contains 2 mg per thread""."
15058000,Tube,A unit of presentation used to represent the quantity of product that is found in a single tube container.,"For example, to describe the quantity of a gastroenteral solution in a single pre-filled gastroenteral tube: ""contains 100 mL per tube""."
15059000,Vessel,A unit of presentation used to represent the quantity of product that is found in a single vessel-type container.,"For example, to describe the quantity of a cryogenic medicinal gas in a single mobile cryogenic vessel: ""contains 25 L per vessel""."
15060000,Vial,A unit of presentation used to represent the quantity of product that is found in a single vial container.,"For example, to describe the quantity of a solution for injection in a single vial: ""contains 1.2 mL per vial""."
15061000,Puff,,"Term rejected. This unit of presentation, specific to inhalers, is covered by the existing term 'Actuation'."
15062000,Swab,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of swab.,"For example, to describe the strength of an impregnated cutaneous swab: ""contains 10 mg per swab""."
