code,term,definition,comment,status,domain,modification_date,creation_date
10116000,Lyophilisate for suspension,,"Use discouraged. Use instead a more-specific term such as 'Lyophilisate for oculonasal suspension', 'Lyophilisate for suspension for injection', etc.",Deprecated,Veterinary only,2014-09-04 14:51:32,2006-03-14 00:00:00
10117000,Syrup,"Liquid single-dose or multidose aqueous preparation characterised by a sweet taste and a viscous consistency and usually containing aromatic or other flavouring agents, intended for oral use. Each dose from a multidose container is administered by means of a device suitable for measuring the prescribed volume, generally 5 mL or multiples thereof.",,Current,Human and Veterinary,2016-03-30 09:10:37,2006-03-14 00:00:00
10118000,Powder for syrup,"Solid preparation consisting of one or more powders, including freeze-dried powders, that may include excipients to facilitate dissolution in water and to obtain the characteristics of a syrup, intended to be dissolved in water to obtain a syrup.",,Current,Human and Veterinary,2016-03-30 18:57:03,2006-03-14 00:00:00
10119000,Granules for syrup,"Solid preparation consisting of aggregated particles that may include excipients to facilitate wetting and dissolution and to obtain the characteristics of a syrup, intended to be dissolved in water to obtain a syrup.",,Current,Human and Veterinary,2016-03-30 11:09:38,2006-03-14 00:00:00
10120000,Soluble tablet,"Solid single-dose preparation consisting of a tablet, usually uncoated, intended to be dissolved in the specified liquid before being swallowed.",This is equivalent to a tablet for oral solution.,Current,Human and Veterinary,2016-03-30 19:28:47,2006-03-14 00:00:00
10121000,Dispersible tablet,Solid single-dose preparation consisting of a tablet intended to be dispersed in the specified liquid before being swallowed.,This is equivalent to a tablet for oral suspension.,Current,Human and Veterinary,2016-03-30 19:18:08,2006-03-14 00:00:00
10121500,Dispersible tablets for dose dispenser,"Solid preparation consisting of small, dispersible tablets that are designed to be used in a dose dispenser, each tablet usually consisting of a small fraction of a dose, with multiple tablets being automatically counted and administered as a single dose.",,Current,Human and Veterinary,2014-05-28 13:41:08,2014-05-28 13:41:08
10122000,Herbal tea,"Solid preparation consisting exclusively of one or more herbal drugs intended for the preparation of an oral aqueous preparation by means of decoction, infusion or maceration. Herbal teas are usually presented in bulk form or in bags. The tea is prepared immediately before oral intake.",,Current,Human and Veterinary,2016-03-30 19:35:26,2006-03-14 00:00:00
10201000,Oral powder,"Single-dose or multidose preparation consisting of one or more particulate solids of varying degrees of fineness. Oral powders are intended for oral administration. They are generally administered in or with water or another suitable liquid, but may also be swallowed directly.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10202000,Instant herbal tea,Solid preparation consisting of a lyophilised herbal drug extract intended to be dissolved in water before oral use. Instant herbal teas are supplied in bulk form (multidose) or in sachets (single-dose).,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10203000,Effervescent powder,Solid single-dose or multidose preparation consisting of one or more powders generally containing acid substances and carbonates or hydrogen carbonates that react rapidly in the presence of water to release carbon dioxide. Effervescent powders are intended to be dissolved or dispersed in water before administration.,,Current,Human and Veterinary,2016-03-30 17:35:13,2006-03-14 00:00:00
10204000,Granules,"Solid single-dose or multidose preparation consisting of solid, dry aggregates of powder particles that are sufficiently resistant to withstand handling. Granules are intended for oral use to release active substance(s) in the gastrointestinal fluids by a rate depending essentially on the intrinsic properties of the active substance(s) (conventional release). They may be swallowed as such and/or chewed before swallowing, and some may also be dissolved or dispersed in water or another suitable liquid before oral administration. Granules for oral solution and Granules for oral suspension are excluded.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10205000,Effervescent granules,Solid single-dose or multidose preparation consisting of uncoated granules generally containing acidic substances and carbonates or hydrogen carbonates that rapidly react in the presence of water to release carbon dioxide. Effervescent granules are intended to be dissolved or dispersed in water before oral use.,,Current,Human and Veterinary,2016-03-30 11:01:28,2006-03-14 00:00:00
10206000,Gastro-resistant granules,Solid preparation consisting of delayed-release granules intended to resist the gastric fluid and release the active substance(s) in the intestinal fluid. This deliberate modification is achieved by coating the granules with a gastro-resistant material or by embedding the solid particles in the gastro-resistant material. Gastro-resistant granules are usually single-dose preparations intended for oral use.,,Current,Human and Veterinary,2016-03-30 11:02:50,2006-03-14 00:00:00
10207000,Prolonged-release granules,Solid preparation consisting of granules showing a slower release than that of conventional-release granules. This deliberate modification is achieved by a special formulation design and/or manufacturing method. Prolonged-release granules are usually single-dose preparations intended for oral use.,,Current,Human and Veterinary,2016-03-30 11:16:14,2006-03-14 00:00:00
10208000,Modified-release granules,"Solid preparation consisting of granules showing a rate and/or place of release different from that of conventional-release granules. This deliberate modification is achieved by a special formulation design and/or manufacturing method. Modified-release granules are usually single-dose preparations intended for oral use, and include prolonged-release, delayed release and pulsatile-release granules. The generic term 'modified-release granules' is used only when the more specific terms 'gastro-resistant granules' or 'prolonged-release granules' do not apply.",,Current,Human and Veterinary,2016-03-30 11:12:45,2006-03-14 00:00:00
10209000,Cachet,Solid discoid preparation consisting of a wafer enclosing a unit dose intended for oral use.,,Current,Human and Veterinary,2016-03-30 10:31:37,2006-03-14 00:00:00
10210000,"Capsule, hard","Solid single-dose preparation contained in a hard shell, the capacity of which can be varied. The shell is made of gelatin or other substances. It consists of two prefabricated cylindrical sections one end of which is rounded and closed, the other being open. The contents of the shell may be a solid or semi-solid preparation, which is filled into one of the sections and closed by slipping the other section over it. Hard capsules are intended for oral use.",,Current,Human and Veterinary,2018-08-09 15:03:16,2006-03-14 00:00:00
10211000,"Capsule, soft","Solid single-dose preparation contained in a soft shell, the capacity and shape of which can be varied. The shell is made of gelatin or other substances and may contain (a) solid active substance(s). The shell is thicker than that of hard capsules and consists of one part as soft capsules usually are formed, filled and sealed in one operation. The contents of the shell may be a semi-solid or liquid preparation. Soft capsules are intended for oral use.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10212000,"Gastro-resistant capsule, hard","Solid single-dose, delayed-release preparation contained in a hard shell. The preparation is intended to resist the gastric fluid and to release the active substance(s) in the intestinal fluid. Hard gastro-resistant capsules are usually made by filling hard capsules with gastro-resistant granules or solid particles made gastro-resistant by coating or, in certain cases, by providing hard capsules with a gastro-resistant shell. They are intended for oral use.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10213000,"Gastro-resistant capsule, soft","Solid single-dose, delayed-release preparation contained in a soft shell. The preparation is intended to resist the gastric fluid and to release the active substance(s) in the intestinal fluid. Soft gastro-resistant capsules are usually formed, filled and sealed in one operation. They may contain a liquid or semi-solid preparation in the gastro-resistant shell. Soft gastro-resistant capsules are intended for oral use.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10214000,"Chewable capsule, soft","Solid single-dose preparation contained in a soft shell. The soft capsule is intended to be chewed to release its contents into the mouth. The contents of the soft shell may be a semi-solid or liquid preparation intended for local action or systemic delivery after absorption through the oral mucosa or, when swallowed, in the gastrointestinal tract.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10215000,"Prolonged-release capsule, hard","Solid single-dose preparation consisting of a hard shell containing a solid or semi-solid formulation, showing a slower release of the active substance(s) than that of a conventional-release capsule. Prolonged release is achieved by a special formulation design and/or manufacturing method. Hard prolonged-release capsules are intended for oral use.",,Current,Human and Veterinary,2016-03-30 10:48:42,2006-03-14 00:00:00
10216000,"Prolonged-release capsule, soft","Solid single-dose preparation consisting of a soft shell containing a semi-solid or liquid formulation, showing a slower release of the active substance(s) than that of a conventional-release capsule. Prolonged release is achieved by a special formulation design and/or manufacturing method. Soft prolonged-release capsules are intended for oral use.",,Current,Human and Veterinary,2016-03-30 10:49:36,2006-03-14 00:00:00
10217000,"Modified-release capsule, hard","Solid single-dose preparation consisting of a hard shell containing a solid or semi-solid formulation, showing a rate, a place and/or a time of release different from that of a conventional-release capsule. This deliberate modification is achieved by a special formulation design and/or manufacturing method. Hard modified-release capsules are intended for oral use, and include prolonged-release, delayed-release and pulsatile-release preparations. The generic term 'modified-release capsule, hard' is used only when the more specific terms 'gastro-resistant capsule, hard' or 'prolonged-release capsule, hard' do not apply.",,Current,Human and Veterinary,2016-03-30 10:46:29,2006-03-14 00:00:00
10218000,"Modified-release capsule, soft","Solid single-dose preparation consisting of a soft shell containing a semi-solid or liquid formulation, showing a rate, a place and/or a time of release different from that of a conventional-release capsule. This deliberate modification is achieved by a special formulation design and/or manufacturing method. Soft modified-release capsules are intended for oral use, and include prolonged-release, delayed-release and pulsatile-release preparations. The generic term 'modified-release capsule, soft' is used only when the more specific terms 'gastro-resistant capsule, soft' or 'prolonged-release capsule, soft' do not apply.",,Current,Human and Veterinary,2016-03-30 10:47:45,2006-03-14 00:00:00
10219000,Tablet,Solid single-dose uncoated preparation obtained by compressing uniform volumes of particulate solids or by other means such as extrusion or moulding. Tablets include single-layer tablets resulting from a single compression of particles and multi-layer tablets consisting of concentric or parallel layers obtained by successive compressions of particles of different composition. Tablets are intended for oral use to release active substance(s) in the gastrointestinal fluids by a rate depending essentially on the intrinsic properties of active substance(s) (conventional release).,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10220000,Coated tablet,"Solid single-dose preparation consisting of a tablet coated with one or more layers of mixtures of various substances such as sugars and waxes. To the coating colouring matter, flavouring substances and active substance(s) may be added. The thickness of the coating is greater than that of a film-coated tablet. Coated tablets have a smooth surface. They are intended for oral use. When the coating dissolves or disintegrates the active substance(s) is (are) released into the gastrointestinal fluid at a rate depending essentially on its intrinsic properties (conventional release).",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10221000,Film-coated tablet,Solid single-dose preparation consisting of a tablet coated with a thin polymeric film that dissolves within a few minutes in the gastrointestinal fluid. Film-coated tablets are intended for oral use to release active substance(s) at a rate which is not significantly delayed compared to that of the uncoated tablet.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10222000,Effervescent tablet,"Solid single-dose preparation consisting of an uncoated tablet generally containing acid substances and carbonates or hydrogen carbonates, which react rapidly in the presence of water to release carbon dioxide. Effervescent tablets are intended to be dissolved or dispersed in water before oral use.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10223000,Orodispersible tablet,Solid single-dose preparation consisting of an uncoated tablet intended to be placed in the mouth where it disperses rapidly in saliva before being swallowed.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10224000,Oral lyophilisate,"Solid single-dose preparation made by freeze-drying of a liquid or semi-solid preparation. This fast-releasing preparation is intended to be placed in the mouth where its contents are released in saliva and swallowed or, alternatively, to be dissolved in water before oral administration.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10225000,Gastro-resistant tablet,"Solid single-dose, delayed-release tablet intended to resist the gastric fluid and to release the active substance(s) in the intestinal fluid. These properties are achieved by coating the tablet with a gastro-resistant material or by embedding solid particles in the gastro-resistant material before compression. Gastro-resistant tablets are intended for oral administration.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10226000,Prolonged-release tablet,Solid single-dose preparation consisting of a tablet showing a slower release of the active substance(s) than that of a conventional-release tablet. Prolonged release is achieved by a special formulation design and/or manufacturing method. Prolonged-release tablets are intended for oral use.,,Current,Human and Veterinary,2016-03-30 19:27:45,2006-03-14 00:00:00
10227000,Modified-release tablet,"Solid single-dose preparation consisting of a tablet showing a rate, a place and/or a time of release different from that of a conventional-release tablet. This deliberate modification is achieved by a special formulation design and/or manufacturing method. Modified-release tablets are intended for oral use, and include prolonged-release, delayed-release and pulsatile-release preparations. The generic term 'modified-release tablet' is used only when the more specific terms 'gastro-resistant tablet' or 'prolonged-release tablet' do not apply.",,Current,Human and Veterinary,2016-03-30 19:25:00,2006-03-14 00:00:00
10228000,Chewable tablet,Solid single-dose preparation consisting of an uncoated tablet intended to be chewed before being swallowed. Chewable tablets are intended for oral administration.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10229000,Medicated chewing-gum,"Solid single-dose preparation consisting of a basis, mainly composed of gums, intended to be chewed but not swallowed. The active substance(s) is (are) released in saliva by chewing. Medicated chewing gum is intended for local treatment of mouth diseases or systemic delivery after absorption through the oral mucosa or from the gastrointestinal tract.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10230000,Oral gum,"Solid single-dose preparation with a gum-like consistency, intended to be sucked or chewed before being swallowed. Medicated chewing gum is excluded.",,Current,Human and Veterinary,2016-03-30 11:17:58,2006-03-14 00:00:00
10230500,Pill,,Term rejected.,Rejected,Human and Veterinary,2014-09-04 13:25:59,2011-12-02 11:34:19
10231000,Pillules,"Solid preparation for homoeopathic use, obtained from sucrose, lactose or other suitable excipients. Pillules may be prepared by impregnation of preformed pillules with a dilution or dilutions of homoeopathic stocks or by progressive addition of these excipients and the addition of a dilution or dilutions of homoeopathic stocks. Pillules are intended for oral or sublingual use.",,Current,Human and Veterinary,2016-03-30 17:33:00,2006-03-14 00:00:00
10232000,Continuous-release intraruminal device,"Solid single-dose preparation intended for oral use in ruminant animals. It is designed to be retained in the rumen to deliver the active substance(s) in a continuous manner at a defined rate over a defined period of time. This may be achieved by erosion, corrosion, diffusion, osmotic pressure or any other suitable chemical, physical or physico-chemical means.",,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10233000,Pulsatile-release intraruminal device,Solid single-dose preparation intended for oral use in ruminant animals. It is designed to be retained in the rumen to deliver the active substance(s) in a pulsatile manner by the release of a specific quantity of active substance(s) at one or several defined intermediate intervals. This may be achieved by corrosion by ruminal fluids of the metallic elements of the intraruminal device which leads to sequential release of the constituent units which are usually in the form of tablets.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10234000,Lick block,Solid block containing active substance(s) intended for veterinary use. It is formed by pressing. Administration takes place when the animal is licking the block.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10235000,Premix for medicated feeding stuff,"Liquid, semi-solid or solid preparation intended to facilitate oral administration of active substances to animals. Premixes for medicated feeding stuff are used exclusively in the preparation of medicated feeding stuffs. Used as powders or granules, they are free-flowing and homogeneous. Used in liquid form, they are homogeneous suspensions or solutions which may be obtained from thixotropic gels or structured liquids. The particle size and other properties are such as to ensure uniform distribution of the active substance(s) in the final feeding stuff.",,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10236000,Medicated pellets,"Solid single-dose or multidose preparation intended for veterinary use, consisting of large granules, usually formed by extrusion, intended for oral use.",,Current,Veterinary only,2016-03-30 17:25:21,2006-03-14 00:00:00
10236100,Orodispersible film,Solid preparation consisting of a single- or multilayer sheet of suitable material(s) intended to be placed in the mouth where it disperses rapidly before being swallowed.,,Current,Human and Veterinary,2016-03-30 10:59:13,2009-03-12 11:17:19
10301000,Gargle,Liquid preparation consisting of an aqueous solution intended for gargling to obtain a local effect in the oral cavity and the throat. Gargles are not to be swallowed.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10302000,Concentrate for gargle,Liquid preparation consisting of an aqueous solution intended to be diluted in water to obtain a gargle.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10303000,"Gargle, powder for solution",Solid preparation consisting of one or more powders intended to be dissolved in water to obtain a gargle.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10304000,"Gargle, tablet for solution",Solid preparation consisting of a tablet intended to be dissolved in water to obtain a gargle.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10305000,Oromucosal solution,Liquid single-dose or multidose preparation consisting of a solution intended for oromucosal use.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10306000,Oromucosal suspension,Liquid single-dose or multidose preparation consisting of a suspension intended for oromucosal use.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10307000,Oromucosal drops,"Liquid, usually multidose preparation consisting of a solution, suspension or emulsion intended for oromucosal use. Oromucosal drops are administered by instillation into the oral cavity or onto a specific part of the oral cavity.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10308000,Oromucosal spray,,Use discouraged. This does not contain the information required for a full Standard Term.,Deprecated,Human and Veterinary,2014-09-04 14:26:53,2006-03-14 00:00:00
10308100,"Oromucosal spray, emulsion","Liquid, usually multidose preparation consisting of an emulsion intended for oromucosal use. It is administered by spraying into the oral cavity or onto a specific part of the oral cavity or the throat. It is presented in a container with a spray pump or in a pressurised container with or without a metering valve. Sublingual sprays are excluded.",,Current,Human and Veterinary,2011-02-21 09:55:15,2011-02-21 09:55:15
10308200,"Oromucosal spray, solution","Liquid, usually multidose preparation consisting of a solution intended for oromucosal use. It is administered by spraying into the oral cavity or onto a specific part of the oral cavity or the throat. It is presented in a container with a spray pump or in a pressurised container with or without a metering valve. Sublingual sprays are excluded.",,Current,Human and Veterinary,2011-02-21 09:57:03,2011-02-21 09:57:03
10308300,"Oromucosal spray, suspension","Liquid, usually multidose preparation consisting of a suspension intended for oromucosal use. It is administered by spraying into the oral cavity or onto a specific part of the oral cavity or the throat. It is presented in a container with a spray pump or in a pressurised container with or without a metering valve. Sublingual sprays are excluded.",,Current,Human and Veterinary,2011-02-21 09:57:52,2011-02-21 09:57:52
10309000,Sublingual spray,,Use discouraged. This does not contain the information required for a full Standard Term.,Deprecated,Human and Veterinary,2014-09-04 14:30:20,2006-03-14 00:00:00
10309100,"Sublingual spray, emulsion","Liquid, usually multidose preparation consisting of an emulsion intended for sublingual use. Sublingual sprays are usually presented in pressurised containers with a metering valve.",,Current,Human and Veterinary,2012-05-23 17:15:21,2012-05-23 17:15:21
10309200,"Sublingual spray, solution","Liquid, usually multidose preparation consisting of a solution intended for sublingual use. Sublingual sprays are usually presented in pressurised containers with a metering valve.",,Current,Human and Veterinary,2012-05-23 17:15:59,2012-05-23 17:15:59
10309300,"Sublingual spray, suspension","Liquid, usually multidose preparation consisting of a suspension intended for sublingual use. Sublingual sprays are usually presented in pressurised containers with a metering valve.",,Current,Human and Veterinary,2012-05-23 17:16:31,2012-05-23 17:16:31
10310000,Mouthwash,Liquid preparation consisting of an aqueous solution intended for use in contact with the oral mucosa. It is not to be swallowed. Mouthwashes may contain excipients to adjust the pH which as far as possible is neutral.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10311000,"Mouthwash, tablet for solution",Solid preparation consisting of an uncoated tablet intended to be dissolved in water to obtain a mouthwash.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10312000,Gingival solution,"Liquid, usually multidose preparation consisting of a solution intended for gingival use.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10313000,Oromucosal gel,"Semi-solid single-dose or multidose preparation consisting of a hydrophilic gel intended for oromucosal use. It is applied to the oral cavity or onto a specific part of the oral cavity, to obtain a local effect. Gingival gel is excluded.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10314000,Oromucosal paste,"Semi-solid single-dose or multidose preparation consisting of a paste of solid particles finely dispersed in a hydrophilic basis intended for oromucosal use. Oromucosal pastes are applied to the oral cavity or onto a specific part of the oral cavity, to obtain a local effect. Gingival paste is excluded.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10314005,Oromucosal ointment,"Semi-solid multidose preparation consisting of an ointment intended for oromucosal use. It is applied to the oral cavity or onto a specific part of the oral cavity, to obtain a local effect",,Current,Human and Veterinary,2010-06-22 15:55:39,2010-06-22 15:55:39
10314010,Oromucosal cream,"Semi-solid, usually multidose preparation consisting of an oil-in-water emulsion intended for oromucosal use. Oromucosal creams are applied to the oral cavity or onto a specific part of the oral cavity, other than the gingivae, to obtain a local effect.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10314011,Buccal film,Solid preparation consisting of a single- or multilayer sheet of suitable material(s) intended to be applied to the buccal cavity (pouch) to obtain a systemic effect.,,Current,Human and Veterinary,2016-03-30 10:58:14,2009-03-12 10:52:09
10315000,Gingival gel,Semi-solid single-dose or multidose preparation consisting of a gel intended for gingival use to obtain a local effect.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10316000,Gingival paste,Semi-solid single-dose or multidose preparation consisting of a paste of solid particles finely dispersed in a hydrophilic basis intended for gingival use to obtain a local effect.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10317000,Oromucosal capsule,Solid single-dose preparation contained in a soft shell to be chewed or sucked to obtain a local effect in the oral cavity.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10317500,Sublingual film,Solid preparation consisting of a single- or multilayer sheet of suitable material(s) intended for sublingual use to obtain a systemic effect.,,Current,Human and Veterinary,2016-03-30 11:00:00,2011-11-29 13:27:39
10318000,Sublingual tablet,Solid single-dose preparation consisting of an uncoated tablet intended for sublingual use. Sublingual tablets are usually prepared by compression of mixtures of powders or granulations into tablets with a shape suited for the intended use. Other technologies such as moulding may be used.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10319000,Muco-adhesive buccal tablet,"Solid single-dose preparation to be applied to the buccal mucosa to obtain a systemic delivery over an extended period of time. Mucoadhesive buccal tablets are usually prepared by compression of mixtures of powders or granulations into tablets with a shape suited for the intended use. They usually contain hydrophilic polymers, which on wetting with saliva produce a flexible hydrogel that adheres to the buccal mucosa.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10320000,Buccal tablet,Solid single-dose preparation to be applied to the buccal cavity (pouch) to obtain systemic delivery. Buccal tablets are prepared by compression of mixtures of powders or granulations into tablets with a shape suited for the intended use.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10321000,Lozenge,"Solid single-dose preparation intended to be sucked to obtain, usually, a local effect in the oral cavity and the throat. Lozenges are hard preparations prepared by moulding. They usually contain flavouring and sweetening agents. Lozenges dissolve or disintegrate slowly when sucked.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10322000,Compressed lozenge,Solid single-dose preparation intended to be sucked to obtain a local or systemic effect. It is prepared by compression and is often rhomboid in shape. Compressed lozenges usually contain flavouring and sweetening agents. They dissolve or disintegrate slowly when sucked.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10323000,Pastille,"Solid single-dose preparation intended to be sucked to obtain, usually, a local effect in the oral cavity and the throat. Pastilles are soft, flexible preparations prepared by moulding of mixtures containing natural or synthetic polymers or gums and sweeteners. They dissolve or disintegrate slowly when sucked.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10401000,Periodontal powder,Solid preparation consisting of one or more powders intended for administration within the tooth socket/periodontal membrane.,,Current,Human and Veterinary,2018-08-09 14:59:50,2006-03-14 00:00:00
10401500,Dental cement,"Semi-solid preparation intended for application in or on teeth, which subsequently hardens to form a seal or bond.",,Current,Human and Veterinary,2013-01-29 09:27:49,2013-01-29 09:27:49
10402000,Dental gel,"Semi-solid, usually multidose preparation consisting of a hydrophilic gel intended for administration on teeth and gums by rubbing.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10403000,Dental stick,"Solid single-dose preparation, rod-shaped and usually prepared by compression or moulding, intended for dental use.",,Current,Human and Veterinary,2016-03-30 19:03:34,2006-03-14 00:00:00
10404000,Dental insert,,Use discouraged.,Deprecated,Human and Veterinary,2014-09-04 13:02:40,2006-03-14 00:00:00
10405000,Dental powder,Solid preparation consisting of one or more powders intended for administration on teeth and gums.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10406000,Dental solution,"Liquid, usually multidose preparation consisting of a solution intended for administration on teeth and gums.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10407000,Dental suspension,"Liquid, usually multidose preparation consisting of a suspension intended for administration on teeth and gums.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10408000,Dental emulsion,"Liquid, usually multidose preparation consisting of an emulsion intended for administration on to the teeth and the gums.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
