code,term,definition,comment,status,domain,modification_date,creation_date
15013000,Cartridge,A unit of presentation used to represent the quantity of product that is found in a single cartridge container.,"For example, to describe the quantity of a solution for injection in a single cartridge: ""contains 5 mL per cartridge"".",Current,Human and Veterinary,2016-05-20 09:51:14,2016-05-20 09:51:14
15015000,Collar,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of collar.,"For example, to describe the strength of a medicated collar: ""contains 10 mg per collar"".",Current,Veterinary only,2016-05-20 09:54:01,2016-05-20 09:54:01
15016000,Container,"A unit of presentation used to represent the quantity of product that is found in a single container, where a more-specific container term is not applicable.","For example, to describe the quantity of a dispersion for injection in a single container: ""contains 1 mL per container"".",Current,Human and Veterinary,2016-05-20 09:55:16,2016-05-20 09:55:16
15017000,Cup,A unit of presentation used to represent the quantity of product that is administered by filling a single cup administration device.,"For example, to describe the quantity of granules that would fit in a single cup when administered as directed: ""contains approximately 20 g per cup"".",Current,Human and Veterinary,2016-05-20 09:56:38,2016-05-20 09:56:38
15018000,Cylinder,A unit of presentation used to represent the quantity of product that is found in a single cylinder-type container.,"For example, to describe the quantity of a compressed medicinal gas in a single gas cylinder: ""supplies 1500 L per cylinder"".",Current,Human and Veterinary,2016-05-20 09:57:38,2016-05-20 09:57:38
15019000,Dart,A unit of presentation used to represent the quantity of product that is found in a single dart container.,"For example, to describe the quantity of a solution for injection in a single dart: ""contains 5 mL per dart"".",Current,Veterinary only,2016-05-20 09:58:19,2016-05-20 09:58:19
15021000,Dressing,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of dressing.,"For example, to describe the strength of an impregnated dressing: ""contains 500 mg per dressing"".",Current,Human and Veterinary,2016-05-20 09:59:02,2016-05-20 09:59:02
15022000,Drop,A unit of presentation used to represent the quantity of product that is administered in a single drop dispensed from a dropper or equivalent administration device.,"For example, to describe the strength of oral drops, solution: ""contains approximately 5 mg per drop"".",Current,Human and Veterinary,2016-05-20 09:59:58,2016-05-20 09:59:58
15023000,Film,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of film.,"For example, to describe the strength of an orodispersible film: ""contains 4 mg per film"".",Current,Human and Veterinary,2016-05-20 10:00:48,2016-05-20 10:00:48
15024000,Chewing gum,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of medicated chewing gum.,"For example, to describe the strength of a medicated chewing gum: ""contains 4 mg per chewing gum"".",Current,Human and Veterinary,2016-06-29 11:33:05,2016-06-29 11:33:05
15025000,Implant,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of implant.,"For example, to describe the strength of an implant: ""contains 10 mg per implant"".",Current,Human and Veterinary,2016-05-20 10:01:33,2016-05-20 10:01:33
15026000,Inhaler,A unit of presentation used to represent the quantity of product that is found in a single inhaler container.,"For example, to describe the quantity of a powder for inhalation in a single-use inhaler: ""contains 10 mg per inhaler"".",Current,Human and Veterinary,2016-05-20 10:02:17,2016-05-20 10:02:17
15027000,Insert,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of insert.,"For example, to describe the strength of an ophthalmic insert: ""contains 0.28 mg per insert"".",Current,Human and Veterinary,2016-05-20 10:03:02,2016-05-20 10:03:02
15028000,Jar,A unit of presentation used to represent the quantity of product that is found in a single jar container.,"For example, to describe the quantity of a cream in a single jar: ""contains 500 g per jar"".",Current,Human and Veterinary,2016-05-20 10:03:42,2016-05-20 10:03:42
15029000,Lozenge,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of lozenge.,"For example, to describe the strength of a compressed lozenge: ""contains 2 mg per lozenge"".",Current,Human and Veterinary,2016-05-20 10:04:21,2016-05-20 10:04:21
15030000,Lyophilisate,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of lyophilisate.,"For example, to describe the strength of an oral lyophilisate: ""contains 10 mg per lyophilisate"".",Current,Human and Veterinary,2016-05-20 10:07:44,2016-05-20 10:07:44
15031000,Matrix,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of matrix.,"For example, to describe the strength of an implantation matrix: ""contains 12 mg per matrix"".",Current,Human and Veterinary,2016-05-20 10:10:17,2016-05-20 10:10:17
15033000,Pad,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of pad.,"For example, to describe the strength of an impregnated pad: ""contains 10 mg per pad"".",Current,Human and Veterinary,2016-05-20 10:10:53,2016-05-20 10:10:53
15034000,Paper,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of paper.,"For example, to describe the strength of a bee smoke paper: ""contains 10 mg per paper"".",Current,Veterinary only,2016-05-20 10:12:20,2016-05-20 10:12:20
15035000,Pastille,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of pastille.,"For example, to describe the strength of a pastille: ""contains 2 mg per pastille"".",Current,Human and Veterinary,2016-05-20 10:12:53,2016-05-20 10:12:53
15036000,Patch,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of patch.,"For example, to describe the strength of a transdermal patch: ""contains 12 mg per patch"".",Current,Human and Veterinary,2016-05-20 10:13:33,2016-05-20 10:13:33
15037000,Pen,A unit of presentation used to represent the quantity of product that is found in a single pen container.,"For example, to describe the quantity of a solution for injection in a single pre-filled pen: ""contains 3 mL per pen"".",Current,Human and Veterinary,2016-05-20 10:14:10,2016-05-20 10:14:10
15038000,Pendant,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of pendant.,"For example, to describe the strength of a medicated pendant: ""contains 200 mg per pendant"".",Current,Veterinary only,2016-05-20 10:14:45,2016-05-20 10:14:45
15039000,Pessary,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of pessary.,"For example, to describe the strength of a pessary: ""contains 100 mg per pessary"".",Current,Human and Veterinary,2016-05-20 10:15:22,2016-05-20 10:15:22
15040000,Pillule,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of pillule.,"For example, to describe the strength of a pillule: ""contains 30C per pillule"".",Current,Human and Veterinary,2016-05-20 10:22:03,2016-05-20 10:22:03
15041000,Pipette,A unit of presentation used to represent the quantity of product that is found in a single pipette administration device.,"For example, to describe the quantity of a spot-on solution in a single pipette: ""contains 1 mL per pipette"".",Current,Human and Veterinary,2016-05-20 10:23:13,2016-05-20 10:23:13
15042000,Plaster,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of plaster.,"For example, to describe the strength of a medicated plaster: ""contains 100 mg per plaster"".",Current,Human and Veterinary,2016-05-20 10:23:45,2016-05-20 10:23:45
15043000,Plug,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of plug.,"For example, to describe the strength of an impregnated plug: ""contains 10 mg per plug"".",Current,Human and Veterinary,2016-05-20 10:24:34,2016-05-20 10:24:34
15044000,Pouch,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form or container is a type of pouch.,"For example, to describe the strength of a pouch: ""contains 10 mg per pouch"".",Current,Human and Veterinary,2016-05-20 10:28:27,2016-05-20 10:28:27
15045000,Sachet,A unit of presentation used to represent the quantity of product that is found in a single sachet container.,"For example, to describe the quantity of a powder for oral suspension in a single sachet: ""contains 3 g per sachet"".",Current,Human and Veterinary,2016-05-20 10:29:05,2016-05-20 10:29:05
15046000,Sponge,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of sponge.,"For example, to describe the strength of a medicated sponge: ""contains 200 mg per sponge"".",Current,Human and Veterinary,2016-05-20 10:29:44,2016-05-20 10:29:44
15047000,Spoonful,A unit of presentation used to represent the quantity of product that is administered by filling a single spoon administration device.,"For example, to describe the quantity of oral solution that would fit in a single spoon when administered as directed: ""contains 5 mL per spoonful"".",Current,Human and Veterinary,2016-06-29 11:33:51,2016-06-29 11:33:51
15048000,Stick,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of stick.,"For example, to describe the strength of a urethral stick: ""contains 1000 mcg per stick"".",Current,Human and Veterinary,2016-05-20 10:30:17,2016-05-20 10:30:17
15049000,Straw,A unit of presentation used to represent the quantity of product that is found in a single straw container.,"For example, to describe the quantity of an oral suspension in a single straw: ""contains 5 mL per straw"".",Current,Human and Veterinary,2016-05-20 10:31:00,2016-05-20 10:31:00
15050000,Strip,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of strip.,"For example, to describe the strength of an ophthalmic strip: ""contains 1 mg per strip"".",Current,Human and Veterinary,2016-05-20 10:31:36,2016-05-20 10:31:36
15051000,Suppository,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of suppository.,"For example, to describe the strength of a suppository: ""contains 500 mg per suppository"".",Current,Human and Veterinary,2016-05-20 10:32:05,2016-05-20 10:32:05
15052000,Syringe,A unit of presentation used to represent the quantity of product that is found in a single syringe container.,"For example, to describe the quantity of a solution for injection in a single pre-filled syringe: ""contains 10 mL per syringe"".",Current,Human and Veterinary,2016-05-20 10:33:12,2016-05-20 10:33:12
15053000,System,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of system.,"For example, to describe the strength of an intrauterine delivery system: ""contains 15 mg per system"".",Current,Human and Veterinary,2016-05-20 10:33:51,2016-05-20 10:33:51
15054000,Tablet,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of tablet.,"For example, to describe the strength of a prolonged-release tablet: ""contains 20 mg per tablet"".",Current,Human and Veterinary,2016-05-20 10:34:49,2016-05-20 10:34:49
15055000,Tag,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of tag.,"For example, to describe the strength of an ear tag: ""contains 1000 mg per tag"".",Current,Veterinary only,2016-05-20 10:35:25,2016-05-20 10:35:25
15056000,Tampon,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of tampon.,"For example, to describe the strength of a rectal tampon: ""contains 100 mg per tampon"".",Current,Human and Veterinary,2016-05-20 10:36:04,2016-05-20 10:36:04
15057000,Thread,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of thread.,"For example, to describe the strength of a medicated thread: ""contains 2 mg per thread"".",Current,Human and Veterinary,2016-05-20 10:36:35,2016-05-20 10:36:35
15058000,Tube,A unit of presentation used to represent the quantity of product that is found in a single tube container.,"For example, to describe the quantity of a gastroenteral solution in a single pre-filled gastroenteral tube: ""contains 100 mL per tube"".",Current,Human and Veterinary,2016-05-20 10:37:09,2016-05-20 10:37:09
15059000,Vessel,A unit of presentation used to represent the quantity of product that is found in a single vessel-type container.,"For example, to describe the quantity of a cryogenic medicinal gas in a single mobile cryogenic vessel: ""contains 25 L per vessel"".",Current,Human and Veterinary,2016-05-20 10:37:50,2016-05-20 10:37:50
15060000,Vial,A unit of presentation used to represent the quantity of product that is found in a single vial container.,"For example, to describe the quantity of a solution for injection in a single vial: ""contains 1.2 mL per vial"".",Current,Human and Veterinary,2016-05-20 10:38:25,2016-05-20 10:38:25
15061000,Puff,,"Term rejected. This unit of presentation, specific to inhalers, is covered by the existing term 'Actuation'.",Rejected,Human and Veterinary,2016-08-10 15:00:38,2016-08-10 15:00:38
15062000,Swab,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of swab.,"For example, to describe the strength of an impregnated cutaneous swab: ""contains 10 mg per swab"".",Current,Human and Veterinary,2021-08-02 08:46:50,2021-08-02 08:46:50
