code,term,definition,comment,status,domain,modification_date,creation_date
20045000,Intravenous use,Injection of a medicinal product into a vein.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20046000,Intravesical use,Administration of a medicinal product to the urinary bladder.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20047000,Intravitreal use,Administration of a medicinal product into the rear chamber of the eye.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20047500,Iontophoresis,Introduction of (an) ionised active substance(s) through the intact skin by application of a direct electric current,,Current,Human and Veterinary,2010-06-22 16:04:44,2010-06-22 16:04:44
20048000,Laryngopharyngeal use,Administration of a medicinal product to the laryngopharynx for a local effect (anaesthetics).,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20048500,Nail use,,"Term rejected. This route is covered by the existing term 'Cutaneous use'. Where use is restricted to a specific area, such as the nails, this should be specified in the product information. ",Rejected,Human and Veterinary,2014-09-04 15:05:21,2012-06-27 09:08:37
20049000,Nasal use,Administration of a medicinal product to the nose to obtain a systemic or local effect. Inhalation therapy intended for the lower respiratory tract is excluded; see inhalation use.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20050000,Nebulisation use,"Administration of a veterinary medicinal product converted into an aerosol for mass medication, for example of birds.",,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20051000,Ocular use,Administration of a medicinal product upon the eyeball and/or conjunctiva.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20052000,Oculonasal use,"Administration of a veterinary medicinal product by instillation (dropping) into the eyes and nares of individual animals (usually birds), or spraying onto the animals to achieve the same effect.",,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20053000,Oral use,Taking a medicinal product by means of swallowing.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20054000,Oromucosal use,"Administration of a medicinal product to the oral cavity to obtain either a systemic or a local effect. The term oromucosal is only for use when a more specific term (e.g. buccal, gingival, sublingual...) does not apply. Oral use is excluded.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20055000,Oropharyngeal use,Administration of a medicinal product to the oropharynx (throat) to obtain a local effect.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20056000,Paravertebral use,Injection of a veterinary medicinal product along the spinal column of animals.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20057000,Periarticular use,Injection of a medicinal product around a joint.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20058000,Perineural use,Injection of a medicinal product into the direct surroundings of one or more nerves.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20059000,Periodontal use,Administration to the pouch between the tooth and the gingiva.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20059300,Periosseous use,Administration of a medicinal product on or around the bone,,Current,Human and Veterinary,2010-04-22 11:54:14,2010-04-22 11:54:14
20059400,Peritumoral use,Administration of a medicinal product directly into the region surrounding a tumour.,,Current,Human and Veterinary,2013-09-04 10:50:38,2013-09-04 10:50:38
20059500,Posterior juxtascleral use,"Administration of a medicinal product beneath the sub-tenon membrane of the sclera (i.e. in the episcleral space), adjacent to the macula.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20060000,Pour-on use,Administration of a veterinary medicinal product by pouring onto the dorsal midline of the animal or to the top of the head and around the base of the horns.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20061000,Rectal use,Administration of a medicinal product to the rectum in order to obtain a local or systemic effect.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20061500,Retrobulbar use,Administration of a medicinal product behind the eyeball,,Current,Human and Veterinary,2010-06-16 10:19:36,2010-06-16 10:19:36
20062000,Route of administration not applicable,"Applies to medicinal products not directly coming into contact with the body of the patient, or administration to various or non-specified anatomical sites.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20063000,Skin scarification,Administration of a medicinal product by scratching the skin.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20064000,Spot-on use,Administration of a veterinary medicinal product to a single site on the back of the animal or the base of the poll of the head.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20065000,Subconjunctival use,Injection of a medicinal product underneath the conjunctiva.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20066000,Subcutaneous use,"Injection of a medicinal product directly underneath the skin, i.e. subdermally",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20067000,Sublingual use,Administration of a medicinal product under the tongue to obtain a systemic effect.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20067500,Submucosal use,Injection of a medicinal product directly underneath a mucosa,,Current,Human and Veterinary,2010-04-22 11:57:20,2010-04-22 11:57:20
20068000,Teat use,Administration of a veterinary medicinal product to the surface of teat(s). Teat dipping is included.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20069000,Top-dressing use,Administration of a veterinary medicinal product by application onto the surface of the feed immediately prior to feeding.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20070000,Transdermal use,Administration of a medicinal product to the skin in order to obtain a systemic effect after passing through the skin barrier.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20071000,Urethral use,Administration of a medicinal product to the urethra.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20072000,Vaginal use,Administration of a medicinal product to the vagina.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20073000,Water-borne use,Administration of a veterinary medicinal product to aquatic (marine or fresh water) species by medication of the water environment.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20074000,Wing-web-stab use,Administration of a veterinary medicinal product into the wing-web of a bird.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20080000,Intracerebroventricular use,Administration of a medicinal product into the cerebral ventricles (cerebral ventricular system) of the brain.,,Current,Human and Veterinary,2016-09-13 09:05:48,2016-09-13 09:05:48
20081000,Subretinal use,Administration of a medicinal product between the sensory retina (neural retina) and the retinal pigment epithelium of the eye.,,Current,Human and Veterinary,2016-10-28 08:33:20,2016-10-28 08:33:20
20082000,Transmammary,Exposure of a breast-feeding infant to a medicinal product administered to the lactating mother.,"This term is not intended to describe an authorised route of administration for use in marketing authorisations, and does not cover intentional administration of a medicinal product to a breastfeeding infant. It is intended for use in adverse event reporting for pharmacovigilance purposes.",Current,Human and Veterinary,2017-08-21 16:35:34,2017-08-21 16:35:34
20083000,Transplacental,In utero exposure of an embryo/foetus to a medicinal product administered to the pregnant mother.,"This term is not intended to describe an authorised route of administration for use in marketing authorisations, and does not cover intentional administration of a medicinal product to an embryo/foetus. It is intended for use in adverse event reporting for pharmacovigilance purposes.",Current,Human and Veterinary,2017-08-21 16:36:36,2017-08-21 16:36:36
20084000,Intracorneal use,Administration of a medicinal product into the cornea of the eye.,,Current,Human and Veterinary,2019-03-05 09:06:04,2019-03-05 09:06:04
20085000,Topical,"Administration of a medicinal product by an unspecified route, including administration to the skin or to a mucous membrane, and excluding oral and parenteral administration. This term is only to be used where a single specific route of administration (e.g. 'Cutaneous use') cannot be identified.",This term is not intended to describe an authorised route of administration for use in marketing authorisations. It is intended for use in adverse event reporting for pharmacovigilance purposes where more-specific information on the route of administration is not available.,Current,Human and Veterinary,2019-03-05 09:08:01,2019-03-05 09:08:01
20086000,Intraputaminal use,Administration of a medicinal product into one or both of the putamen of the brain.,,Current,Human and Veterinary,2020-02-11 08:10:36,2020-02-11 08:10:36
20087000,Extrapleural use,"Injection of a medicinal product directly outside the pleural cavity, between the parietal pleura and the endothoracic fascia.",,Current,Human and Veterinary,2021-10-07 10:10:54,2021-10-07 10:10:54
